ObjectID,Stream,Date ,Site Type,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat ,Depth (cm),Velocity (m/s),Substrate,Canopy Cover ,Instream Cover Type (1),Instream Cover Percentage (1),Instream Cover Type (2),Instream Cover Percentage (2),Instream Cover Type (3),Instream Cover Percentage (3),Latitude (W),Longitude (N),Photo Number ,Notes ,Data Changes
219,West Clear ,3/16/2022,Available,na,10.84,Riffle,,39,0.15,Gravel,Yes,Boulder,60%,Surface Turbulance,40%,na,na,W 111.41.1604,N 34.32.2912,,,All Available_ changed to Available
220,West Clear ,3/16/2022,Available,na,12.85,Riffle,,52,0.40,Boulder,No,na,na,na,na,na,na,W 111.41.1542,N 34.32.2933,,,All Riffle_ replaced with Riffle 
221,West Clear ,3/16/2022,Available,na,14.07,Riffle,,56,0.55,Cobble,No,Boulder,10%,na,na,na,na,W 111.41.1453,N 34.32.2918,,,All Boulder_ replaced with Boulder
222,West Clear ,3/16/2022,Available,na,15.01,Riffle,,38,0.28,Pebble,No,Boulder,15%,na,na,na,na,W 111.41.1464,N 34.32.2913,,,
223,West Clear ,3/16/2022,Available,na,14.95,Riffle,,50,0.96,Boulder,No,Boulder,50%,Surface Turbulance,5%,na,na,W 111.41.1435,N 34.32.2975,,,
224,West Clear ,3/16/2022,Available,na,13.09,Riffle,,42,0.84,Gravel,Yes,Boulder,30%,na,na,na,na,W 111.41.1415,N 34.32.2947,,,
225,West Clear ,3/16/2022,Available,na,13.53,Riffle,,53,0.32,Sand,Yes,na,na,na,na,na,na,W 111.41.1383,N 34.32.2942,,,
226,West Clear ,3/16/2022,Available,na,14.21,Run,,31,0.02,Sand,Yes,Aquatic Vegetation,30%,Woody Debris,5%,Boulder,5%,W 111.41.1362,N 34.32.2925,,,
227,West Clear ,3/16/2022,Available,na,14.03,Run,,58,0.28,Pebble,Yes,Boulder,15%,na,na,na,na,W 111.41.1299,N 34.32.2956,,,
228,West Clear ,3/16/2022,Available,na,12.26,Riffle,,84,0.65,Boulder,No,Boulder,30%,na,na,na,na,W 111.41.1284,N 34.32.2977,,,
229,West Clear ,3/16/2022,Available,na,13.65,Riffle,,48,1.07,Pebble,No,Boulder,15%,na,na,na,na,W 111.41.1218,N 34.32.298,,,
230,West Clear ,3/16/2022,Available,na,17.16,Riffle,,34,1.16,Cobble,Yes,Boulder,35%,Surface Turbulance,10%,na,na,W 111.41.1164,N 34.32.2959,,,
231,West Clear ,3/16/2022,Available,na,15.25,Riffle,,46,0.82,Boulder,No,Boulder,60%,Surface Turbulance,40%,na,na,W 111.41.1176,N 34.32.2972,,,
232,West Clear ,3/16/2022,Occupied ,157,14.56,Riffle,,38,0.43,Boulder,Yes,Boulder,40%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,All Occupied_ changed to Occupied 
233,West Clear ,3/16/2022,Occupied ,168,12.72,Riffle,,37,0.97,Boulder,Yes,Boulder,50%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,
234,West Clear ,3/16/2022,Occupied ,172,12.75,Riffle,,30,0.28,Boulder,Yes,Boulder,70%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,
235,West Clear ,3/16/2022,Occupied ,163,12.63,Riffle,,34,0.27,Boulder,Yes,Boulder,50%,Woody Debris,20%,na,na,W 111.41.1086,N 34.32.2975,,,
236,West Clear ,3/16/2022,Available,na,13.54,Riffle,,62,0.86,Boulder,Yes,Boulder,40%,Surface Turbulance,5%,na,na,W 111.41.1081,N 34.32.2983,,,
237,West Clear ,3/16/2022,Occupied ,163,13.61,Riffle,,50,0.11,Boulder,Yes,Boulder,20%,na,na,na,na,W 111.41.1058,N 34.32.2979,,,
238,West Clear ,3/16/2022,Occupied ,171,13.61,Riffle,,52,0.24,Boulder,Yes,Boulder,20%,na,na,na,na,W 111.41.1055,N 34.32.2979,,,
239,West Clear ,3/16/2022,Available,na,8.18,Riffle,,69,0.08,Pebble,No,Boulder,10%,na,na,na,na,W 111.41.1038,N 34.32.2991,,,
240,West Clear ,3/16/2022,Occupied ,175,8.45,Riffle,,65,0.0,Pebble,Yes,Woody Debris,40%,na,na,na,na,W 111.41.1028,N 34.32.2987,,,
241,West Clear ,3/16/2022,Available,162,8.44,Riffle,,70,0.29,Cobble,Yes,Woody Debris,50%,na,na,na,na,W 111.41.1032,N 34.32.2985,,,
242,West Clear ,3/16/2022,Available,na,8.88,Riffle,,na,na,na,Yes,na,na,na,na,na,na,W 111.41.1002,N 34.32.2978,,A little sketch ,
243,West Clear ,3/17/2022,Available,na,11.95,Riffle,,25,0.65,Cobble,Yes,Boulder,10,na,na,na,na,W 111.41.0927,N 34.32.3032,,,
244,West Clear ,3/17/2022,Available,na,10.98,Riffle,,48,0.64,Pebble,Yes,Boulder,15,na,na,na,na,W 111.41.0864,N 34.32.3011,,,
245,West Clear ,3/17/2022,Occupied ,173,12.3,Riffle,,33,0.36,Boulder,No,Boulder,30,na,na,na,na,W 111.40.6109,N 34.32.1413,,,
246,West Clear ,3/17/2022,Available,na,13.3,Riffle,,56,0.23,Boulder,No,Boulder,40,Surface Turbulance,5,na,na,W 111.41.0809,N 34.32.3041,,,
247,West Clear ,3/17/2022,Available,na,12.43,Riffle,,63,0.87,Cobble,Yes,Boulder,20,na,na,na,na,W 111.41.0787,N 34.32.3028,,,
248,West Clear ,3/17/2022,Available,na,12.62,Riffle,,38,0.12,Boulder,Yes,Boulder,40,Surface Turbulance,5,na,na,W 111.41.0738,N 34.32.3044,,,
249,West Clear ,3/17/2022,Available,na,11.4,Riffle,,50,0.14,Boulder,No,Boulder,50,Surface Turbulance,20,na,na,W 111.41.0715,N 34.32.3125,,,
250,West Clear ,3/17/2022,Available,na,12.2,Riffle,,22,0.23,Silt,Yes,Aquatic Vegetation,30,Woody Debris,20,na,na,W 111.41.0607,N 34.32.3059,,,
251,West Clear ,3/17/2022,Available,na,10.9,Riffle,,65,0.47,Cobble,No,Boulder,10,na,na,na,na,W 111.41.0652,N 34.32.3098,,,
252,West Clear ,3/17/2022,Available,na,12.4,Riffle,,26,0.34,Silt,Yes,Aquatic Vegetation,80,na,na,na,na,w 111.41.0615,N 34.32.3119,,,Replaced Silt/Clay with Silt
253,West Clear ,3/17/2022,Available,na,15.6,Pool,,66,0.40,Boulder,No,Boulder,30,na,na,na,na,W 111.41.0466,N 34.32.3056,,,
254,West Clear ,3/17/2022,Occupied ,185,15.6,Pool,,50,0,Gravel,No,Boulder,20,na,na,na,na,W 111.41.0502,N 34.32.3044,,,
255,West Clear ,3/17/2022,Occupied ,181,15.6,Pool,,60,0.14,Gravel,No,Na,Na,na,na,na,na,W 111.41.0503,N 34.32.3114,,,
256,West Clear ,3/17/2022,Available,na,15.6,Pool,,71,0.19,Boulder,No,Boulder,60,na,na,na,na,W 111.41.0473,N 34.32.3121,,,
257,West Clear ,3/17/2022,Available,na,14.6,Pool,,53,0.12,Cobble,Yes,Boulder,10,na,na,na,na,w 111.41.0408,N 34.32.3019,,,
258,West Clear ,3/17/2022,Available,na,13.69,Pool,,88,0.15,Cobble,No,Na,Na,na,na,na,na,W 111.41.0346,N 34.32.3090,,,
259,West Clear ,3/17/2022,Available,na,11.01,Pool,,67,0,Silt,Yes,Terrestrial Vegetation,30,na,na,na,na,W 111.41.0369,N 34.32.3153,,,
260,West Clear ,3/17/2022,Occupied ,160,9.94,Riffle,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0347,N 34.32.3155,,,
261,West Clear ,3/17/2022,Available,na,9.91,Riffle,,61,0.07,Silt,Yes,Woody Debris,30,na,na,na,na,W 111.41.0350,N 34.32.3159,,,
262,West Clear ,3/17/2022,Occupied ,184,9.98,Riffle,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0311,N 34.32.3158,,,
263,West Clear ,3/17/2022,Available,na,9.98,Riffle,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0294,N 34.32.3171,,,
264,West Clear ,3/17/2022,Available,na,7.96,Riffle,,80,0.06,na,Yes,Woody Debris,10,Surface Turbulance,10,na,na,W 111.41.0240,N 34.32.3192,,,
265,West Clear ,3/17/2022,Occupied ,182,7.74,Riffle,,62,0,Gravel,Yes,Woody Debris,10,na,na,na,na,W 111.41.0244,N 34.32.3192,,,
266,West Clear ,3/17/2022,Available,na,8.07,Riffle,,38,0,Cobble,Yes,Boulder,20,Surface Turbulance,20,na,na,W 111.41.0192,N 34.32.3201,,,
267,West Clear ,3/17/2022,Available,na,6.76,Riffle,,24,0.19,Cobble,Yes,Boulder,20,Surface Turbulance,5,na,na,W 111.41.0135,N 34.32.3208,,,
268,West Clear ,3/17/2022,Occupied ,199,8.22,Riffle,,<150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0238,N 34.32.3197,,Not safe to measure,
269,West Clear ,3/17/2022,Available,na,6.15,Riffle,,28,0.44,Cobble,Yes,Boulder,20,na,na,na,na,W 111.41.0089,N 34.32.3142,,,
270,West Clear ,3/17/2022,Available,na,9.00,Riffle,,32,0.21,Silt,No,Boulder,10,Aquatic Vegetation,10,na,na,W 111.41.0050,N 34.32.3165,,,
271,West Clear ,3/17/2022,Available,na,9.72,Riffle,,61,0.91,Bedrock,No,Boulder,10,na,na,na,na,W 111.41.0001,N 34.32.3146,,,
272,West Clear ,3/17/2022,Available,na,11.75,Riffle,,49,0.03,Boulder,Yes,Boulder,20,na,na,na,na,W 111.40.9963,N 34.32.3114,,,
273,West Clear ,3/17/2022,Available,na,8.19,Riffle,,60,0.77,Cobble,Yes,Surface Turbulance,10,Boulder,10,na,na,W 111.40.9931,N 34.32.3122,,,
274,West Clear ,3/17/2022,Available,na,8.15,Riffle,,48,0.64,Cobble,No,Surface Turbulance,30,Boulder,20,na,na,W 111.40.9901,N 34.32.3115,,,
275,West Clear ,3/17/2022,Available,na,8.34,Riffle,,46,0.66,Cobble,Yes,Boulder,20,Surface Turbulance,20,na,na,W 111.40.9832,N 34.32.3074,,,
276,West Clear ,3/17/2022,Available,na,11.86,Riffle,,37,0.21,Boulder,No,Boulder,20,Surface Turbulance,20,na,na,W 111.40.9797,N 34.32.3091,,,
277,West Clear ,3/17/2022,Available,na,15.47,Riffle,,97,0.08,Boulder,Yes,Boulder,40,na,na,na,na,W 111.41.9829,N 34.32.3068,,,
278,West Clear ,3/17/2022,Available,na,19.00,Riffle,,59,0.45,Cobble,No,Boulder,20,Surface Turbulance,10,na,na,W 111.40.9789,N 34.32.3035,,,
279,West Clear ,3/17/2022,Available,na,8.21,Riffle,,39,0.14,Gravel,Yes,Woody Debris,10,na,na,na,na,W 111.40.9714,N 34.32.3034,,,
280,West Clear ,3/17/2022,Available,na,22.7,Riffle,,23,0.38,Gravel,No,Na,Na,na,na,na,na,W 111.40.9664,N 34.32.3011,,,
281,West Clear ,3/17/2022,Available,na,26.5,Riffle,,61,0.30,Cobble,No,Boulder,10,na,na,na,na,W 111.40.9682,N 34.32.2964,,,
282,West Clear ,3/17/2022,Available,na,6.03,Riffle,,58,0.12,Cobble,Yes,Boulder,20,na,na,na,na,W 111.40.9649,N 34.32.2958,,,
283,West Clear ,3/17/2022,Available,na,15.3,Pool,,62,0.37,Pebble,Yes,Boulder,20,na,na,na,na,W 111.40.9594,N 34.32.2897,,Started 16 m intervals,
284,West Clear ,3/17/2022,Available,na,12.46,Pool,,89,0.46,Boulder,Yes,Boulder,40,na,na,na,na,W 111.40.9540,N 34.32.2825,,,
285,West Clear ,3/17/2022,Available,na,11.22,Pool,,88,0.20,Boulder,No,Boulder,50,na,na,na,na,W 111.40.9483,N 34.32.2769,,,
286,West Clear ,3/17/2022,Available,na,10.26,Pool,,95,0.11,Cobble,Yes,Na,Na,na,na,na,na,W 111.40.9411,N 34.32.2726,,,
287,West Clear ,3/17/2022,Available,na,12.31,Pool,,55,0.11,Cobble,Yes,Aquatic Vegetation,30,Boulder,10,na,na,W 111.40.9418,N 34.32.2644,,,
288,West Clear ,3/17/2022,Available,na,12.92,Riffle,,74,0,Boulder,Yes,Boulder,30,Woody Debris,20,na,na,W 111.40.9271,N 34.32.2602,,,
289,West Clear ,3/17/2022,Available,na,13.45,Pool,,78,0.06,Gravel,Yes,Boulder,20,na,na,na,na,W 111.40.9199,N 34.32.2556,,,
290,West Clear ,3/17/2022,Available,na,11.01,Riffle,,24,0.30,Silt,Yes,Aquatic Vegetation,40,na,na,na,na,W 111.409136,N 34.32.2482,,,
291,West Clear ,3/17/2022,Available,na,15.1,Pool,,65,0.22,Gravel,Yes,Boulder,30,na,na,na,na,W 111.40.9074,N 34.32.2477,,,
292,West Clear ,3/17/2022,Available,na,14.23,Pool,,30,0.02,Boulder,Yes,Boulder,60,na,na,na,na,W 111.40.9054,N 34.32.2377,,,
293,West Clear ,3/17/2022,Available,na,16.2,Riffle,,54,0.33,Cobble,Yes,Boulder,40,Surface Turbulance,5,na,na,W 111.40.9019,N 34.32.2313,,,
294,West Clear ,3/17/2022,Available,na,14.8,Riffle,,73,0.47,Cobble,Yes,Boulder,30,Surface Turbulance,20,na,na,W 111.40.8800,N 34.32.2236,,,
295,West Clear ,3/17/2022,Available,na,12.4,Riffle,,108,0.58,Cobble,Yes,Boulder,20,na,na,na,na,W 111.40.8808,N 34.32.2190,,,
296,West Clear ,3/17/2022,Available,na,13.2,Riffle,,85,0.39,Cobble,Yes,Boulder,30,Surface Turbulance,20,na,na,W 111.40.8764,N 34.32.2097,,,
297,West Clear ,3/17/2022,Available,na,14.3,Riffle,,27,0.22,Pebble,Yes,Boulder,10,Surface Turbulance,20,na,na,W 111.40.8629,N 34.32.2072,,,
298,West Clear ,3/17/2022,Available,na,7.33,Riffle,,23,0.25,Boulder,Yes,Surface Turbulance,20,Boulder,20,na,na,W 111.40.8587,N 34.32.2033,,,
299,West Clear ,3/17/2022,Available,na,15.3,Pool,,46,0.36,Boulder,Yes,Boulder,40,na,na,na,na,W 111.40.8508,N 34.32.2003,,,
300,West Clear ,3/17/2022,Available,na,13.18,Pool,,52,0.05,Pebble,Yes,Na,Na,na,na,na,na,W 111.40.8450,N 34.32.1929,,,
301,West Clear ,3/17/2022,Occupied ,158,19.94,Pool,,60,0.17,Pebble,Yes,Na,Na,na,na,na,na,W 111.40.8434,N 34.40.1916,,,
302,West Clear ,3/17/2022,Available,na,20.5,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8331,N 34.40.1906,,,
303,West Clear ,3/17/2022,Available,na,16.76,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8291,N 34.32.1850,,,
304,West Clear ,3/17/2022,Available,na,21.87,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8197,N 34.32.1800,,,
305,West Clear ,3/17/2022,Available,na,17.43,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8176,N 34.32.1763,,,
306,West Clear ,3/17/2022,Occupied ,161,17.6,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8176,N 34.32.1763,,,
307,West Clear ,3/17/2022,Occupied ,197,17.6,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8174,N 34.32.1751,,,
308,West Clear ,3/17/2022,Occupied ,164,17.6,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8174,N 34.32.1751,,,
309,West Clear ,3/17/2022,Occupied ,176,17.6,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8174,N 34.32.1751,,,
310,West Clear ,3/17/2022,Occupied ,169,17.6,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.8174,N 34.32.1751,,,
311,West Clear ,3/17/2022,Available,na,10.57,Riffle,,28,0.31,Cobble,Yes,Boulder,20,na,na,na,na,W 111.40.8071,N 34.32.1642,,,
312,West Clear ,3/17/2022,Available,na,11.48,Riffle,,44,0.23,Pebble,Yes,Boulder,10,na,na,na,na,W 111.40.7989,N 34.32.1638,,,
313,West Clear ,3/17/2022,Available,na,12.0,Riffle,,70,0.30,Boulder,Yes,Boulder,40,na,na,na,na,W 111.40.7919,N 34.32.1619,,,
314,West Clear ,3/17/2022,Available,na,12.25,Riffle,,43,0.37,Boulder,Yes,Boulder,20,Surface Turbulance,10,na,na,W 111.40.7891,N 34.32.1632,,,
315,West Clear ,3/17/2022,Available,na,13.23,Riffle,,34,0.10,Cobble,Yes,Boulder,10,Woody Debris,40,na,na,W 111.40.7763,N 34.32.1632,,,
316,West Clear ,3/17/2022,Available,na,12.81,Riffle,,53,0.35,Boulder,Yes,Boulder,30,Surface Turbulance,10,na,na,W 111.40.7668,N 34.32.1581,,,
317,West Clear ,3/17/2022,Available,na,10.86,Riffle,,67,0.29,Boulder,Yes,Boulder,40,na,na,na,na,W 111.40.7572,N 34.32.1598,,,
318,West Clear ,3/17/2022,Occupied ,189,10.14,Riffle,,59,0.70,Boulder,Yes,Surface Turbulance,50,Boulder,20,na,na,W 111.40.7512,N 34.32.1577,,,
319,West Clear ,3/17/2022,Occupied ,200,10.81,Riffle,,60,1.18,Boulder,Yes,Boulder,30,Surface Turbulance,60,na,na,W 111.40.7502,N 34.32.1563,,,
320,West Clear ,3/17/2022,Available,na,12.3,Riffle,,64,0.91,Boulder,Yes,Boulder,40,Surface Turbulance,30,na,na,W 111.40.7464,N 34.32.1575,,,
321,West Clear ,3/17/2022,Available,na,8.83,Riffle,,51,1.33,Boulder,Yes,Surface Turbulance,70,Boulder,30,na,na,W 111.40.7414,N 34.32.1637,,,
322,West Clear ,3/17/2022,Available,na,11.78,Riffle,,43,0.19,Boulder,Yes,Boulder,60,na,na,na,na,W 111.40.7240,N 34.32.1526,,,
323,West Clear ,3/17/2022,Available,na,17.02,Pool,,73,0.06,Silt,Yes,Na,Na,na,na,na,na,W 111.40.7143,N 34.32.1502,,,
324,West Clear ,3/17/2022,Occupied ,165,16.92,Pool,,104,0.06,Silt,Yes,Woody Debris,10,na,na,na,na,W 111.40.7094,N 34.32.1473,,,
325,West Clear ,3/17/2022,Available,na,13.15,Pool,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.40.7029,N 34.32.1404,,,
326,West Clear ,3/17/2022,Available,na,14.92,Pool,,43,0.0,Silt,Yes,Woody Debris,40,na,na,na,na,W 111.40.6942,N 34.32.1394,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
