Stream,ObjectID,Creation Date,Site Type ,Tag,Stream Width m,Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Edits
Wet Beaver,1,9/15/2022 18:14,Available,NA,4.89,Pool,,57,0,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.674918,111.672341,,-111.6719744,34.67432106,Removed other from mesohab
Wet Beaver,2,9/15/2022 18:30,Available,NA,3.665,Riffle,,26,0,Cobble,0,0.05,0,0,0,0,0.05,No,Yes,34.674826,111.672214,,-111.6723286,34.67482455,
Wet Beaver,3,9/15/2022 18:32,Available,NA,4.1,Riffle,,26,0.03,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.674746,111.672222,,-111.6721988,34.67489686,
Wet Beaver,4,9/15/2022 18:35,Available,NA,2.117,Riffle,,18,0.05,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.674714,111.672235,,-111.6722613,34.67467622,
Wet Beaver,5,9/15/2022 18:38,Available,NA,5.072,Riffle,,18,0.11,Pebble,0.2,0,0,0,0,0,0.2,No,Yes,34.674622,111.672219,,-111.672274,34.67466903,
Wet Beaver,6,9/15/2022 18:40,Available,NA,9.7,Pool,,40,0.04,Pebble,0,0,0,0,0,0,0,No,Yes,34.674531,111.672267,,-111.672342,34.67458247,
Wet Beaver,9,9/15/2022 18:47,Available,NA,16.9,Pool,,55,0.04,Gravel,0,0,0,0.25,0,0,0.25,No,Yes,34.674494,111.67227,,-111.6723838,34.67451768,
Wet Beaver,10,9/15/2022 18:49,Available,NA,12.6,Pool,,110,0,Sand,0,0,0,0,0,0,0,No,Yes,34.674375,111.672242,,-111.672407,34.67452078,
Wet Beaver,12,9/15/2022 18:56,Available,NA,15,Pool,,>150,Na,Sand,0,0,0,0,0,0,0,No,Yes,34.674293,111.672177,,-111.6722003,34.67436647,
Wet Beaver,13,9/15/2022 18:58,Available,NA,14.9,Pool,,>150,Na,Sand,0,0,0,0,0,0,0,No,Yes,34.674274,111.672157,,-111.6721796,34.6743133,
Wet Beaver,14,9/15/2022 19:00,Available,NA,12.65,Pool,,24,0,Sand,0,0,0,0,0,0,0,No,NA,34.674233,111.672119,,-111.6721224,34.6742789,NA canopy added
Wet Beaver,15,9/15/2022 19:02,Available,NA,9.3,Pool,,28,0.04,Cobble,0,0,0,0,0,0,0,No,Yes,34.674129,111.671973,,-111.6721281,34.67408569,
Wet Beaver,16,9/15/2022 19:06,Available,NA,7.4,Pool,,25,0.02,Boulder,0.3,0,0,0,0,0,0.3,No,No,34.674093,111.671921,,-111.6720337,34.67409112,
Wet Beaver,17,9/15/2022 19:08,Available,NA,8.2,Pool,,27,0.05,Cobble,0,0,0,0,0,0,0,No,Yes,34.674104,111.671853,,-111.6718877,34.67408484,
Wet Beaver,18,9/15/2022 19:09,Available,NA,6.5,Riffle,,38,0.11,Boulder,0.3,0,0,0,0,0,0.3,No,Yes,34.674078,111.671767,,-111.6717904,34.67406803,
Wet Beaver,19,9/15/2022 19:12,Available,NA,7.07,Riffle,,16,0.01,Pebble,0.2,0,0,0,0,0,0.2,No,Yes,34.674033,111.671671,,-111.6717389,34.67407548,
Wet Beaver,21,9/15/2022 20:04,Available,NA,4.4,Run,,31,0.09,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.674059,111.671541,,-111.6718056,34.6742825,
Wet Beaver,22,9/15/2022 20:11,Available,NA,6.35,Run,,35,0.07,Pebble,0.4,0,0,0,0,0,0.4,No,No,34.674053,111.671532,,-111.6715035,34.67408852,
Wet Beaver,23,9/15/2022 20:14,Available,NA,4.82,Riffle,,27,0.32,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.673982,111.671395,,-111.6713691,34.67404193,
Wet Beaver,24,9/15/2022 20:16,Available,NA,8.68,Riffle,,23,0.07,Gravel,0,0,0,0,0,0,0,No,No,34.673993,111.671296,,-111.6712784,34.67407349,
Wet Beaver,25,9/15/2022 20:18,Available,NA,11.44,Pool,,36,0,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.674036,111.671215,,-111.6712453,34.67405592,
Wet Beaver,28,9/15/2022 20:25,Available,NA,12.92,Riffle,,10,0.05,Cobble,0.05,0.1,0,0,0,0,0.15,No,Yes,34.673951,111.671148,,-111.6710611,34.67400164,
Wet Beaver,29,9/15/2022 20:27,Available,NA,13.62,Riffle,,9,0.08,Cobble,0.15,0,0,0,0,0,0.15,No,No,34.674004,111.671006,,-111.6709919,34.67397614,
Wet Beaver,30,9/15/2022 20:30,Available,NA,9.69,Pool,,29,0.11,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.673985,111.670887,,-111.6709298,34.67406909,
Wet Beaver,31,9/15/2022 20:31,Available,NA,12.56,Pool,,37,0.04,Sand,0,0,0,0,0,0,0,No,Yes,34.673936,111.670796,,-111.6708227,34.67405852,
Wet Beaver,32,9/15/2022 20:32,Available,NA,11.17,Pool,,97,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.673914,111.670789,,-111.6708212,34.67394481,
Wet Beaver,34,9/15/2022 20:38,Available,NA,13.35,Pool,,48,0,Sand,0,0,0,0,0,0,0,No,Yes,34.674,111.670651,,-111.6706804,34.67407959,
Wet Beaver,35,9/15/2022 20:42,Available,NA,14.54,Pool,,105,0.01,Bedrock,0,0,0,0,0,0,0,No,Yes,34.673977,34.670603,,-111.6705438,34.6740296,
Wet Beaver,36,9/15/2022 20:44,Available,NA,14.42,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,No,34.673927,111.670477,,-111.6705183,34.67404098,
Wet Beaver,37,9/15/2022 20:48,Available,NA,7.79,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.673946,111.670434,,-111.6704287,34.67399795,
Wet Beaver,38,9/15/2022 20:49,Available,NA,5.74,Pool,,44,0,Bedrock,0.1,0,0.05,0,0,0,0.15,No,No,34.673934,111.670332,,-111.6703053,34.67399439,
Wet Beaver,39,9/15/2022 20:52,Available,NA,3.69,Run,,15,0.2,Bedrock,0,0,0,0,0,0,0,No,No,34.673907,111.670231,,-111.6702651,34.67393908,
Wet Beaver,40,9/15/2022 20:54,Available,NA,4.85,Run,,25,0.09,Bedrock,0,0,0,0,0,0,0,No,No,34.673894,111.670176,,-111.6700661,34.67392588,
Wet Beaver,41,9/15/2022 20:56,Available,NA,3.91,Riffle,,64,0.27,Gravel,0.4,0,0,0,0,0,0.4,No,Yes,34.673848,111.670089,,-111.6699908,34.67390706,
Wet Beaver,42,9/15/2022 20:58,Available,NA,4.45,Riffle,,18,0.07,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.673836,111.670009,,-111.669905,34.6739082,
Wet Beaver,44,9/15/2022 21:03,Available,NA,3.76,Riffle,,20,0.47,Pebble,0.25,0,0,0,0,0,0.25,No,Yes,34.673787,111.669885,,-111.669854,34.67384116,
Wet Beaver,45,9/15/2022 21:11,Available,NA,7.01,Riffle,,19,0.02,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.673747,111.669849,,-111.6697301,34.67381021,
Wet Beaver,46,9/15/2022 21:13,Available,NA,15.67,Riffle,,12,0.65,Pebble,0.15,0,0,0,0,0,0.15,No,Yes,34.673723,111.669762,,-111.6696813,34.67378916,
Wet Beaver,47,9/15/2022 21:14,Available,NA,6.37,Riffle,,17,0,Cobble,0.05,0.05,0,0,0,0,0.1,No,Yes,34.673638,111.66965,,-111.669658,34.67379821,
Wet Beaver,48,9/15/2022 21:17,Available,NA,9.32,Riffle,,18,0.05,Boulder,0,0,0,0,0,0,0,No,Yes,34.673602,111.669585,,-111.6695818,34.67370646,
Wet Beaver,50,9/15/2022 21:20,Available,NA,8.43,Riffle,,12,0.1,Pebble,0,0,0,0,0,0,0,No,Yes,34.673521,111.669625,,-111.6694955,34.67362989,
Wet Beaver,51,9/15/2022 21:22,Available,NA,12.01,Pool,,39,0.01,Cobble,0,0,0,0,0,0,0,No,No,34.673478,111.669567,,-111.6694448,34.67353232,
Wet Beaver,52,9/15/2022 21:23,Available,NA,10.88,Pool,,62,0.06,Silt,0,0,0,0,0,0,0,No,Yes,34.673495,111.669443,,-111.6693078,34.67355907,
Wet Beaver,53,9/15/2022 21:26,Available,NA,9.26,Pool,,62,0,Cobble,0.05,0,0,0,0,0,0.05,No,Yes,34.673469,111.669377,,-111.6693091,34.67348884,
Wet Beaver,55,9/15/2022 21:31,Available,NA,5.83,Riffle,,40,0.13,Pebble,0,0,0,0,0,0,0,No,Yes,34.673375,111.669238,,-111.6692043,34.673452,
Wet Beaver,57,9/15/2022 21:45,Available,NA,9.36,Riffle,,14,0,Pebble,0.15,0,0,0,0,0,0.15,No,Yes,34.673326,111.669147,,-111.6691348,34.67337926,
Wet Beaver,58,9/15/2022 21:47,Available,NA,7.56,Pool,,22,0.04,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.673286,111.669109,,-111.6690692,34.67337757,
Wet Beaver,60,9/15/2022 21:55,Available,NA,10.58,Pool,,78,0.05,Cobble,0.4,0,0,0,0,0,0.4,No,No,34.673242,111.669042,,-111.6690637,34.67333348,
Wet Beaver,61,9/15/2022 21:58,Available,NA,5.34,Pool,,66,0.03,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.673193,111.669003,,-111.6689622,34.67326148,
Wet Beaver,62,9/15/2022 22:00,Available,NA,6.74,Riffle,,20,0.49,Pebble,0.2,0,0,0,0,0,0.2,No,Yes,34.673149,111.668948,,-111.6689249,34.67323961,
Wet Beaver,64,9/15/2022 22:04,Available,NA,5.13,Riffle,,5,0.11,Pebble,0.3,0,0,0,0,0,0.3,No,No,34.67316,111.668891,,-111.6688646,34.67324147,
Wet Beaver,66,9/15/2022 22:08,Available,NA,4.68,Riffle,,17,0.12,Pebble,0.1,0,0,0.05,0,0,0.15,No,Yes,34.673147,111.668781,,-111.6687893,34.67312649,
Wet Beaver,67,9/15/2022 22:11,Available,NA,7.77,Riffle,,38,0.06,Pebble,0.25,0,0,0,0,0,0.25,No,No,34.673102,111.668711,,-111.6687159,34.67307277,
Wet Beaver,68,9/15/2022 22:13,Available,NA,6.78,Riffle,,16,0.34,Gravel,0,0,0,0,0,0,0,No,No,34.673073,111.668629,,-111.6686045,34.67304296,
Wet Beaver,69,9/15/2022 22:16,Available,NA,9.13,Pool,,37,0.1,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.672958,111.668556,,-111.6685744,34.67295556,
Wet Beaver,70,9/15/2022 22:18,Available,NA,9.15,Pool,,49,0.01,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.672922,111.668529,,-111.6684875,34.67295265,
Wet Beaver,71,9/15/2022 22:20,Available,NA,9.15,Pool,,117,0.03,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.672948,111.668399,,-111.6684577,34.67294126,
Wet Beaver,73,9/15/2022 22:26,Available,NA,11.12,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,Yes,34.672858,111.668419,,-111.668347,34.67289532,
Wet Beaver,74,9/15/2022 22:28,Available,NA,7.95,Pool,,66,0.05,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.672895,111.668322,,-111.6682882,34.67282404,
Wet Beaver,75,9/15/2022 22:30,Available,NA,5.25,Pool,,60,0.09,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.672869,111.66832,,-111.6682341,34.672833,
Wet Beaver,77,9/15/2022 22:34,Available,NA,3.64,Riffle,,28,0.49,Pebble,0.6,0.9,0,0,0,0,1.5,No,Yes,34.672716,111.668116,,-111.6681342,34.67274492,
Wet Beaver,78,9/15/2022 22:37,Available,NA,7.81,Riffle,,30,0.1,Gravel,0.3,0,0,0,0,0,0.3,No,NA,34.672718,111.668067,,-111.668109,34.67267836,NA canopy added
Wet Beaver,79,9/15/2022 22:40,Available,NA,8.11,Riffle,,25,0.06,Pebble,0,0,0,0,0,0,0,No,No,34.672581,111.668039,,-111.6679833,34.67260738,
Wet Beaver,80,9/15/2022 22:43,Available,NA,10.12,Pool,,50,0.01,Pebble,0,0,0,0,0,0,0,No,No,34.672554,111.668013,,-111.667944,34.67255989,
Wet Beaver,81,9/15/2022 22:45,Available,NA,10.33,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.672554,111.667863,,-111.6679059,34.67258527,
Wet Beaver,82,9/15/2022 22:48,Available,NA,10.81,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,No,34.672506,111.667784,,-111.6677611,34.67253459,
Wet Beaver,84,9/15/2022 22:52,Available,NA,12.19,Pool,,71,0,Sand,0,0,0,0,0,0,0,No,Yes,34.672395,111.667635,,-111.6676974,34.67253532,
Wet Beaver,85,9/15/2022 22:55,Available,NA,7.93,Pool,,33,0.02,Boulder,0.05,0,0,0,0,0,0.05,No,Yes,34.67255,111.667644,,-111.6677011,34.6724415,
Wet Beaver,86,9/15/2022 22:58,Available,NA,5.12,Riffle,,22,0.52,Boulder,0.4,0,0,0,0,0,0.4,No,No,34.672533,111.337456,,-111.6675518,34.67246597,
Wet Beaver,87,9/15/2022 23:01,Available,NA,3.61,Riffle,,50,0.14,Bedrock,0,0,0,0,0,0,0,No,Yes,34.672476,111.667416,,-111.6674745,34.67245171,
Wet Beaver,88,9/15/2022 23:03,Available,NA,3.51,Riffle,,40,0,Boulder,0.6,0.8,0,0,0,0,1.4,No,No,34.672545,111.667464,,-111.6673816,34.6724553,
Wet Beaver,89,9/15/2022 23:06,Available,NA,15.98,Riffle,,16,0.18,Pebble,0.3,0.5,0,0,0,0,0.8,No,Yes,34.672421,111.667244,,-111.6673199,34.6725027,
Wet Beaver,90,9/15/2022 23:08,Available,NA,16.24,Riffle,,15,0.42,Cobble,0,0,0,0,0,0,0,No,No,34.67239,111.667208,,-111.6672599,34.67255245,
Wet Beaver,91,9/15/2022 23:12,Available,NA,10.76,Pool,,26,0.07,Cobble,0,0,0,0,0,0,0,No,Yes,34.672388,111.667117,,-111.6672179,34.67257956,
Wet Beaver,92,9/15/2022 23:14,Available,NA,8.73,Pool,,52,0.09,Boulder,0.1,0,0,0,0,0,0.1,No,Yes,34.672501,111.667041,,-111.6671376,34.67254637,
Wet Beaver,94,9/15/2022 23:29,Available,NA,8.76,Pool,,40,0.02,Pebble,0,0,0,0,0,0,0,No,Yes,34.672552,111.667026,,-111.6670423,34.67259483,
Wet Beaver,95,9/15/2022 23:32,Available,NA,9.71,Run,,46,0.12,Cobble,0.05,0,0,0,0,0,0.05,No,Yes,34.672559,111.666922,,-111.6669849,34.67260219,
Wet Beaver,96,9/15/2022 23:34,Available,NA,5.51,Riffle,,22,0.19,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.672619,111.666895,,-111.6669278,34.67266113,
Wet Beaver,97,9/15/2022 23:35,Available,NA,4.15,Riffle,,12,0,Pebble,0,0,0,0,0,0,0,No,Yes,34.672662,111.666843,,-111.6668513,34.67271445,
Wet Beaver,98,9/15/2022 23:38,Available,NA,4.071,Riffle,,32,0.05,Pebble,0.05,0,0,0,0,0,0.05,No,No,34.672733,111.666714,,-111.6667572,34.67276519,
Wet Beaver,99,9/15/2022 23:40,Available,NA,5.14,Riffle,,28,0.22,Pebble,0.1,0.05,0,0,0,0,0.15,No,Yes,34.672794,111.66651,,-111.6667204,34.67285434,
Wet Beaver,101,9/15/2022 23:44,Available,NA,5.11,Riffle,,22,0.51,Pebble,0,0,0,0,0,0,0,No,No,34.672868,111.666617,,-111.6666534,34.67291054,
Wet Beaver,102,9/15/2022 23:46,Available,NA,5.01,Riffle,,26,0.03,Pebble,0.05,0,0,0,0,0,0.05,No,No,34.672896,111.666544,,-111.6665737,34.67290188,
Wet Beaver,103,9/15/2022 23:50,Available,NA,3.26,Riffle,,10,0.07,Pebble,0,0,0,0.05,0,0,0.05,No,No,34.67296,111.666462,,-111.6664758,34.67294792,
Wet Beaver,104,9/15/2022 23:52,Available,NA,5.47,Pool,,39,0.08,Sand,0.05,0,0,0,0,0,0.05,No,No,34.673005,111.666407,,-111.6664061,34.67303932,
Wet Beaver,105,9/15/2022 23:55,Available,NA,7.58,Pool,,50,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.673034,111.666339,,-111.6663554,34.67305419,
Wet Beaver,107,9/15/2022 23:59,Available,NA,6.45,Pool,,76,0.03,Sand,0.2,0,0,0,0,0,0.2,No,No,34.673056,111.66628,,-111.6662781,34.6731067,
Wet Beaver,108,9/15/2022 0:03,Available,NA,7.15,Pool,,95,0.01,Boulder,0.15,0,0,0,0,0,0.15,No,No,34.673101,111.666159,,-111.6662318,34.67311828,
Wet Beaver,110,9/15/2022 0:07,Available,NA,6.54,Pool,,74,0,Sand,0,0,0,0,0,0,0,No,No,34.673115,111.666105,,-111.6661509,34.67314751,Changed date to reflect original data
Wet Beaver,111,9/15/2022 0:09,Available,NA,4.01,Riffle,,28,0.09,Pebble,0.4,0,0,0,0,0,0.4,No,Yes,34.673145,111.666023,,-111.6660716,34.67319017,Changed date to reflect original data
Wet Beaver,112,9/15/2022 0:11,Available,NA,5.18,Pool,,44,0.03,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.673197,111.666164,,-111.6661526,34.67319377,Changed date to reflect original data
Wet Beaver,113,9/15/2022 0:13,Available,NA,4.15,Pool,,35,0.1,Cobble,0,0,0,0,0,0,0,No,No,34.673162,111.666241,,-111.666211,34.67314591,Changed date to reflect original data
Wet Beaver,116,9/15/2022 0:19,Available,NA,4.73,Pool,,32,0.15,Cobble,0,0,0,0,0,0,0,No,No,34.673153,111.666255,,-111.666305,34.673103,Changed date to reflect original data
Wet Beaver,117,9/15/2022 0:21,Available,NA,5.05,Pool,,26,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.673096,111.666395,,-111.6663779,34.67307914,Changed date to reflect original data
Wet Beaver,118,9/15/2022 0:23,Available,NA,4.72,Pool,,28,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673065,111.666483,,-111.6664504,34.67306302,Changed date to reflect original data
Wet Beaver,119,9/15/2022 0:25,Available,NA,5.45,Pool,,56,0.05,Bedrock,0,0,0,0,0,0,0,No,Yes,34.673025,111.666608,,-111.6665064,34.67303185,Changed date to reflect original data
Wet Beaver,121,9/15/2022 0:29,Available,NA,10.01,Pool,,64,0.02,Bedrock,0,0,0,0,0,0,0,No,No,34.672961,111.666676,,-111.6666204,34.67302464,Changed date to reflect original data
Wet Beaver,122,9/15/2022 0:31,Available,NA,7.52,Pool,,48,0,Bedrock,0,0,0,0,0,0,0,No,NA,34.672923,111.666715,,-111.6667156,34.67298695,"Changed date to reflect original data, NA added to canopy"
Wet Beaver,123,9/15/2022 0:33,Available,NA,6.18,Pool,,23,0.01,Silt,0,0,0,0,0,0,0,No,No,34.672961,111.666845,,-111.6668185,34.67295159,Changed date to reflect original data
Wet Beaver,124,9/15/2022 0:35,Available,NA,4.83,Pool,,53,0.01,Silt,0,0,0,0.3,0,0,0.3,No,No,34.672907,111.666912,,-111.6668809,34.67291061,Changed date to reflect original data
Wet Beaver,43,9/15/2022 20:59,Occupied,124,4.56,Riffle,,30,0.47,Cobble,0.05,0.1,0,0,0,0,0.15,No,Yes,34.673836,111.670004,,-111.6699192,34.67387882,Changed to Occupied
Wet Beaver,7,9/15/2022 18:42,Available,NA,,Pool,,Na,Na,NA,0,0,0,0,0,0,0,No,NA,34.67453,111.672299,DEAD,-111.6723194,34.67454384,Changed to Available so dead fish not included
Wet Beaver,8,9/15/2022 18:45,Occupied,104,12.69,Pool,,100,0.01,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.674499,111.672306,,-111.6723692,34.67450072,
Wet Beaver,11,9/15/2022 18:52,Occupied,117,11.79,Pool,,73,0,Sand,0,0,0,0.5,0,0,0.5,No,Yes,34.674328,111.672201,Potential mortality,-111.6722789,34.67437038,
Wet Beaver,20,9/15/2022 19:14,Occupied,112,6.8,Run,,62,0.01,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.674041,111.671605,,-111.6716516,34.67409701,
Wet Beaver,26,9/15/2022 20:20,Occupied,143,11.65,Riffle,,34,0.22,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.674004,111.671243,,-111.6711693,34.67412967,
Wet Beaver,27,9/15/2022 20:22,Occupied,159,12.23,Riffle,,27,0.81,Cobble,0.05,0,0,0,0,0,0.05,No,Yes,34.673995,111.671252,,-111.6711562,34.67403032,
Wet Beaver,33,9/15/2022 20:35,Occupied,114,11.26,Pool,,92,0,Sand,0,0,0,0,0,0,0,No,Yes,34.673929,111.670765,,-111.6707321,34.67410197,
Wet Beaver,49,9/15/2022 21:18,Occupied,113,9.63,Riffle,,14,0.16,Boulder,0.1,0,0,0,0,0,0.1,No,Yes,34.673614,111.669537,,-111.6695358,34.67369351,
Wet Beaver,54,9/15/2022 21:28,Occupied,147,7.67,Pool,,4,4,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.673287,111.669097,With about 10 DS,-111.6692925,34.673428,
Wet Beaver,56,9/15/2022 21:41,Occupied,120,8.2,Pool,,90,0.03,Gravel,0.1,0,0,0,0,0,0.1,No,Yes,34.67331,33.669258,,-111.66916,34.67332244,
Wet Beaver,59,9/15/2022 21:50,Occupied,121,8.43,Pool,,47,0.14,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.673287,111.669097,,-111.6690372,34.67335781,
Wet Beaver,63,9/15/2022 22:01,Occupied,133,6.03,Riffle,,27,0.43,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673167,111.668935,No record,-111.6688734,34.67323184,
Wet Beaver,65,9/15/2022 22:07,Occupied,125,6.67,Riffle,,20,0.31,Cobble,0,0,0,0,0,0,0,No,No,34.673113,111.668819,,-111.6687867,34.67312186,
Wet Beaver,72,9/15/2022 22:23,Occupied,110,10.43,Pool,,108,0.05,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.672932,111.668395,Visually confirmed,-111.6684267,34.67290849,
Wet Beaver,76,9/15/2022 22:32,Occupied,131,5.15,Pool,,54,0.02,Cobble,0.15,0,0,0,0,0,0.15,No,Yes,34.672845,111.668343,,-111.6682385,34.67282236,
Wet Beaver,83,9/15/2022 22:50,Occupied,127,12.34,Pool,,72,0,Sand,0,0,0,0,0,0,0,No,Yes,34.672484,111.667774,,-111.6677103,34.67254191,
Wet Beaver,93,9/15/2022 23:21,Occupied,148,9.34,Pool,,70,0.02,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.67251,111.337104,,-111.6670905,34.67253365,
Wet Beaver,100,9/15/2022 23:42,Occupied,155,5.11,Riffle,,18,0.3,Boulder,0.45,0,0,0,0,0,0.45,No,No,34.672877,111.666611,,-111.666649,34.67285621,
Wet Beaver,106,9/15/2022 23:57,Occupied,154,7.62,Pool,,69,0,Pebble,0,0,0,0.1,0,0,0.1,No,No,34.673034,111.666295,,-111.6663004,34.67301996,
Wet Beaver,109,9/15/2022 0:05,Occupied,135,7.34,Pool,,92,0,Cobble,0,0,0,0,0,0,0,No,No,34.6731,111.666131,,-111.6662244,34.67311331,
Wet Beaver,114,9/15/2022 0:15,Occupied,151,3.52,Pool,,36,0.02,Pebble,0,0,0,0,0,0,0,No,No,34.67316,111.666237,,-111.6662183,34.67313295,Changed date to reflect original data
Wet Beaver,115,9/15/2022 0:17,Occupied,153,4.15,Pool,,36,0.02,Pebble,0,0,0,0,0,0,0,No,No,34.67316,111.666237,,-111.6662541,34.67314988,Changed date to reflect original data
Wet Beaver,120,9/15/2022 0:27,Occupied,152,5.65,Pool,,97,0.12,Bedrock,0.5,0,0,0,0,0,0.5,No,Yes,34.672995,111.666606,Wire bent,-111.6665327,34.67300991,"Changed date to reflect original data, No canopy deleted"
