,Tag,ObjectID,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Creation Date,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,104,20,Beaver,December,Occupied,6.7,Run,36,0.26,Cobble,0.1,0,0,0,0,0,0.1,No,34.673953,111.671636,NA,NA,12/4/2022 19:03,Black Bass,140,217,Backpack Shocker,11/3/2022,NA,NA
2,108,74,Beaver,December,Occupied,7.813,Run,52,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673002,111.668481,NA,NA,12/4/2022 21:31,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
3,124,52,Beaver,December,Occupied,6.6,Riffle,21,0.08,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.673701,111.669594,NA,NA,12/4/2022 20:45,Desert Sucker,121,221,Backpack Shocker,11/12/2022,NA,Male
4,125,79,Beaver,December,Occupied,7.6,Pool,42,0.07,Cobble,0.5,0,0,0,0,0,0.5,No,34.672835,111.66824,NA,NA,12/4/2022 21:43,Black Bass,103,202,Backpack Shocker,11/12/2022,NA,Riffles
5,131,87,Beaver,December,Occupied,11.2,Pool,60,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.672523,111.667806,NA,NA,12/4/2022 22:10,Black Bass,82,191,Backpack Shocker,11/12/2022,NA,Riffles
6,143,22,Beaver,December,Occupied,5.1,Run,46,0.13,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673973,111.671445,NA,NA,12/4/2022 19:09,Desert Sucker,76,189,Hoop Net,11/27/2022,Top of Reach,NA
7,147,66,Beaver,December,Occupied,7.866,Run,69,0.04,Cobble,0.1,0,0,0,0,0,0.1,No,34.673358,111.668981,NA,NA,12/4/2022 21:16,Desert Sucker,88,198,Backpack Shocker,11/16/2022,NA,riffle
8,151,116,Beaver,December,Occupied,4.4,Pool,37,0.06,Cobble,0.05,0,0,0,0,0,0.05,No,34.673083,111.666333,NA,NA,12/4/2022 23:21,Black Bass,137,227,Backpack Shocker,11/16/2022,NA,NA
9,153,115,Beaver,December,Occupied,4.8,Pool,32,0.07,Cobble,0,0,0,0,0,0,0,No,34.673101,111.666307,NA,NA,12/4/2022 23:19,Black Bass,112,208,Backpack Shocker,11/16/2022,NA,Pool
10,154,110,Beaver,December,Occupied,7,Pool,92,0,Cobble,0.5,0,0,0,0,0,0.5,No,34.673091,111.666261,NA,NA,12/4/2022 23:09,Black Bass,75,181,Backpack Shocker,11/14/2022,NA,Pool
11,203,84,Beaver,December,Occupied,3.66,Riffle,48,0,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.672781,111.66792,NA,NA,12/4/2022 22:03,Desert Sucker,NA,227,E-fishing,11/5/2022,NA,NA
12,204,83,Beaver,December,Occupied,NA,Riffle,32,0.91,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672723,111.668069,NA,Added NA to stream width,12/4/2022 22:00,Desert Sucker,NA,272,E-fishing,11/5/2022,NA,NA
13,206,93,Beaver,December,Occupied,3.7,Run,60,0.05,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672503,111.667505,NA,"Changed canopy to yes, confirmed with photo (canyon wall)",12/4/2022 22:26,Black Bass,NA,247,E-fishing,11/5/2022,NA,NA
14,208,77,Beaver,December,Occupied,9.235,Run,72,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.672946,111.668376,NA,"changed substrate from silt to cobble, not clear in photo but changed to cobble based on surrounding substrate and site type.",12/4/2022 21:38,Black Bass,NA,270,E-fishing,11/5/2022,NA,NA
15,210,27,Beaver,December,Occupied,11.4,Riffle,42,0.1,Cobble,0,0,0,0,0.05,0,0.05,Yes,34.673925,111.67116,NA,Changed canopy to Yes based on photo,12/4/2022 19:18,Black Bass,NA,232,E-fishing,11/5/2022,NA,NA
16,211,34,Beaver,December,Occupied,14.7,Pool,48,0.01,Pebble,0,0,0,0,0,0,0,Yes,34.673973,111.670786,NA,NA,12/4/2022 20:15,Black Bass,NA,216,E-fishing,11/5/2022,NA,NA
17,212,60,Beaver,December,Occupied,7.888,Run,40,0,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.673508,111.669207,NA,"Changed canopy cover, confirmed in photo.",12/4/2022 21:04,Black Bass,NA,228,E-fishing,11/5/2022,NA,NA
18,215,7,Beaver,December,Occupied,2.9,Riffle,26,0.3,Cobble,0.2,0.1,0,0,0,0,0.3,NA,34.674556,111.672336,NA,Added NA to Canopy.,12/4/2022 18:40,Desert Sucker,NA,247,E-fishing,11/5/2022,NA,NA
19,219,62,Beaver,December,Occupied,9.74,Run,66,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.673434,111.669184,NA,NA,12/4/2022 21:08,Black Bass,NA,283,E-fishing,11/5/2022,NA,Pretty sure it was 219 but not positive
20,221,45,Beaver,December,Occupied,5.6,Run,76,0.08,Bedrock,0,0,0,0,0,0,0,No,34.673886,111.670095,NA,NA,12/4/2022 20:33,Desert Sucker,NA,250,E-fishing,11/5/2022,NA,NA
21,222,37,Beaver,December,Occupied,13.6,Pool,>150,NA,Silt,0,0,0,0,0,0,0,Yes,34.673959,111.670626,NA,changed to >150 from >200,12/4/2022 20:21,Desert Sucker,NA,267,E-fishing,11/5/2022,NA,NA
22,223,59,Beaver,December,Occupied,8.311,Pool,67,0.06,Pebble,0,0,0,0,0,0,0,Yes,34.673481,111.669229,NA,NA,12/4/2022 21:02,Black Bass,NA,243,E-fishing,11/5/2022,NA,NA
23,225,28,Beaver,December,Occupied,10.1,Riffle,29,0,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.67391,111.671096,NA,NA,12/4/2022 19:19,Black Bass,NA,266,E-fishing,11/5/2022,NA,NA
24,226,35,Beaver,December,Occupied,12.7,Pool,34,0,Silt,0,0,0,0.6,0,0,0.6,Yes,34.673908,111.670704,NA,NA,12/4/2022 20:17,Black Bass,NA,253,E-fishing,11/5/2022,NA,NA
25,227,8,Beaver,December,Occupied,2.9,Riffle,24,0.08,Cobble,0.1,0.2,0,0,0,0,0.3,Yes,34.674558,111.672329,NA,NA,12/4/2022 18:42,Desert Sucker,NA,251,E-fishing,11/5/2022,NA,NA
26,228,4,Beaver,December,Occupied,3.45,Riffle,41,0,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.674665,111.672301,NA,NA,12/4/2022 18:34,Desert Sucker,NA,221,E-fishing,11/5/2022,NA,NA
27,NA,1,Beaver,December,Available,5.6,Pool,72,0.07,Bedrock,0,0,0,0,0,0,0,Yes,34.674743,111.672476,NA,NA,12/4/2022 18:26,NA,NA,NA,NA,NA,NA,NA
28,NA,2,Beaver,December,Available,5.6,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.674753,111.67241,NA,NA,12/4/2022 18:30,NA,NA,NA,NA,NA,NA,NA
29,NA,3,Beaver,December,Available,4.9,Riffle,56,0.03,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.6747,111.672293,NA,NA,12/4/2022 18:32,NA,NA,NA,NA,NA,NA,NA
30,NA,17,Beaver,December,Available,7.6,Run,33,0.05,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.674019,111.671838,NA,NA,12/4/2022 18:58,NA,NA,NA,NA,NA,NA,NA
31,NA,5,Beaver,December,Available,4.3,Riffle,36,0.3,Cobble,0.15,0.05,0,0,0,0,0.2,Yes,34.674639,111.672295,NA,NA,12/4/2022 18:36,NA,NA,NA,NA,NA,NA,NA
32,NA,6,Beaver,December,Available,2.3,Riffle,19,0,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.674596,111.672317,NA,NA,12/4/2022 18:38,NA,NA,NA,NA,NA,NA,NA
33,NA,33,Beaver,December,Available,13.4,Pool,39,0.02,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674031,111.670815,NA,NA,12/4/2022 19:28,NA,NA,NA,NA,NA,NA,NA
34,NA,21,Beaver,December,Available,6,Riffle,18,0.13,Boulder,0.35,0,0,0,0,0,0.35,No,34.673993,111.671563,NA,NA,12/4/2022 19:05,NA,NA,NA,NA,NA,NA,NA
35,NA,9,Beaver,December,Available,6,Riffle,19,0.29,Pebble,0,0,0,0,0,0,0,Yes,34.674534,111.672321,NA,NA,12/4/2022 18:43,NA,NA,NA,NA,NA,NA,NA
36,NA,10,Beaver,December,Available,10.4,Pool,57,0.02,Pebble,0,0,0,0,0,0,0,Yes,34.674487,111.672277,NA,NA,12/4/2022 18:44,NA,NA,NA,NA,NA,NA,NA
37,NA,11,Beaver,December,Available,13.4,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.674309,111.672271,NA,NA,12/4/2022 18:46,NA,NA,NA,NA,NA,NA,NA
38,NA,12,Beaver,December,Available,16.3,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.674234,111.672247,NA,NA,12/4/2022 18:49,NA,NA,NA,NA,NA,NA,NA
39,NA,13,Beaver,December,Available,18.3,Pool,36,0,Silt,0,0,0,0,0,0,0,Yes,34.671143,111.672194,NA,NA,12/4/2022 18:51,NA,NA,NA,NA,NA,NA,NA
40,NA,14,Beaver,December,Available,11.4,Pool,82,0.02,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.674054,111.672132,NA,NA,12/4/2022 18:53,NA,NA,NA,NA,NA,NA,NA
41,NA,15,Beaver,December,Available,9.5,Pool,27,0.01,Pebble,0.15,0,0,0,0,0,0.15,No,34.674049,111.671992,NA,NA,12/4/2022 18:54,NA,NA,NA,NA,NA,NA,NA
42,NA,16,Beaver,December,Available,10.5,Pool,25,0,Cobble,0,0,0,0,0,0,0,No,34.674031,111.671896,NA,NA,12/4/2022 18:56,NA,NA,NA,NA,NA,NA,NA
43,NA,30,Beaver,December,Available,14.2,Riffle,22,0,Pebble,0,0,0,0,0,0,0,Yes,34.673893,111.671033,NA,NA,12/4/2022 19:23,NA,NA,NA,NA,NA,NA,NA
44,NA,18,Beaver,December,Available,7.6,Riffle,26,0,Boulder,0.35,0,0,0,0,0,0.35,Yes,34.673945,111.671734,NA,NA,12/4/2022 18:59,NA,NA,NA,NA,NA,NA,NA
45,NA,19,Beaver,December,Available,7.9,Run,50,0,Gravel,0,0,0,0,0,0,0,No,34.673973,111.671638,NA,NA,12/4/2022 19:01,NA,NA,NA,NA,NA,NA,NA
46,NA,46,Beaver,December,Available,5.5,Run,56,0.38,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.673877,111.670066,NA,NA,12/4/2022 20:34,NA,NA,NA,NA,NA,NA,NA
47,NA,47,Beaver,December,Available,5,Run,76,0,Cobble,0,0,0,0,0,0,0,No,34.673896,111.670002,NA,NA,12/4/2022 20:35,NA,NA,NA,NA,NA,NA,NA
48,NA,48,Beaver,December,Available,4,Riffle,39,0.12,Bedrock,0,0,0,0,0,0,0,Yes,34.673873,111.669941,NA,NA,12/4/2022 20:37,NA,NA,NA,NA,NA,NA,NA
49,NA,23,Beaver,December,Available,5.3,Run,26,0,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.673992,111.671417,NA,NA,12/4/2022 19:11,NA,NA,NA,NA,NA,NA,NA
50,NA,24,Beaver,December,Available,8.9,Riffle,18,0,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.674044,111.671291,NA,NA,12/4/2022 19:12,NA,NA,NA,NA,NA,NA,NA
51,NA,25,Beaver,December,Available,10.3,Riffle,14,0.28,Cobble,0,0,0,0,0,0,0,Yes,34.673989,111.671257,NA,NA,12/4/2022 19:15,NA,NA,NA,NA,NA,NA,NA
52,NA,26,Beaver,December,Available,11.4,Riffle,44,0,Cobble,0.2,0,0,0,0,0,0.2,NA,34.673981,111.671212,NA,Added NA to Canopy.,12/4/2022 19:16,NA,NA,NA,NA,NA,NA,NA
53,NA,40,Beaver,December,Available,13.8,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,34.67399,111.670446,NA,NA,12/4/2022 20:26,NA,NA,NA,NA,NA,NA,NA
54,NA,41,Beaver,December,Available,11.4,Pool,12,0.04,Bedrock,0,0,0,0,0,0,0,No,34.673929,111.670354,NA,NA,12/4/2022 20:28,NA,NA,NA,NA,NA,NA,NA
55,NA,29,Beaver,December,Available,10.1,Riffle,23,0,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673896,111.671084,NA,NA,12/4/2022 19:22,NA,NA,NA,NA,NA,NA,NA
56,NA,43,Beaver,December,Available,4.3,Run,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.673942,111.670202,NA,NA,12/4/2022 20:31,NA,NA,NA,NA,NA,NA,NA
57,NA,31,Beaver,December,Available,11.9,Riffle,22,0,Cobble,0,0,0,0,0,0,0,No,34.673926,111.670906,NA,NA,12/4/2022 19:24,NA,NA,NA,NA,NA,NA,NA
58,NA,32,Beaver,December,Available,14.3,Pool,43,0.05,Pebble,0,0,0,0,0,0,0,Yes,34.673974,111.670832,NA,NA,12/4/2022 19:26,NA,NA,NA,NA,NA,NA,NA
59,NA,72,Beaver,December,Available,11.971,Run,34,0.03,Cobble,0.25,0,0,0,0,0,0.25,No,34.673047,111.668596,NA,NA,12/4/2022 21:27,NA,NA,NA,NA,NA,NA,NA
60,NA,73,Beaver,December,Available,8.195,Run,46,0.03,Cobble,0.05,0,0,0,0,0,0.05,No,34.673044,111.668492,NA,NA,12/4/2022 21:29,NA,NA,NA,NA,NA,NA,NA
61,NA,61,Beaver,December,Available,5.017,Run,33,0.17,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.673527,111.66918,NA,NA,12/4/2022 21:06,NA,NA,NA,NA,NA,NA,NA
62,NA,36,Beaver,December,Available,12.7,Pool,48,0.01,Silt,0,0,0,0,0,0,0,Yes,34.673941,111.670654,NA,NA,12/4/2022 20:20,NA,NA,NA,NA,NA,NA,NA
63,NA,50,Beaver,December,Available,5.3,Riffle,20,0,Gravel,0.25,0,0,0,0,0,0.25,Yes,34.673827,111.669811,NA,NA,12/4/2022 20:41,NA,NA,NA,NA,NA,NA,NA
64,NA,38,Beaver,December,Available,13.6,Pool,>150,NA,Silt,0,0,0,0,0,0,0,Yes,34.674064,111.670634,NA,NA,12/4/2022 20:24,NA,NA,NA,NA,NA,NA,NA
65,NA,39,Beaver,December,Available,13.6,Pool,>150,NA,Silt,0,0,0,0,0,0,0,Yes,34.674057,111.670547,NA,NA,12/4/2022 20:24,NA,NA,NA,NA,NA,NA,NA
66,NA,53,Beaver,December,Available,6.627,Riffle,31,0.11,Cobble,0,0,0,0,0,0,0,Yes,34.673697,111.669603,NA,NA,12/4/2022 20:47,NA,NA,NA,NA,NA,NA,NA
67,NA,54,Beaver,December,Available,5.9,Riffle,20,0.027,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.67367,111.669546,NA,NA,12/4/2022 20:50,NA,NA,NA,NA,NA,NA,NA
68,NA,42,Beaver,December,Available,7.3,Pool,35,0.07,Bedrock,0,0,0,0,0,0,0,Yes,34.67393,111.67028,NA,NA,12/4/2022 20:29,NA,NA,NA,NA,NA,NA,NA
69,NA,56,Beaver,December,Available,9.237,Run,25,0.09,Pebble,0,0,0,0,0,0,0,Yes,34.673584,111.66938,NA,NA,12/4/2022 20:55,NA,NA,NA,NA,NA,NA,NA
70,NA,44,Beaver,December,Available,5.2,Run,16,0.11,Bedrock,0,0,0,0,0,0,0,No,34.673908,111.670146,NA,NA,12/4/2022 20:32,NA,NA,NA,NA,NA,NA,NA
71,NA,58,Beaver,December,Available,8.311,Pool,30,0,Cobble,0,0,0,0,0,0,0,Yes,34.673532,111.669233,NA,Changed to Available,12/4/2022 21:00,NA,NA,NA,NA,NA,NA,NA
72,NA,85,Beaver,December,Available,6.3,Riffle,14,0.12,Pebble,0,0,0,0,0,0,0,Yes,34.672658,111.668012,NA,NA,12/4/2022 22:05,NA,NA,NA,NA,NA,NA,NA
73,NA,86,Beaver,December,Available,9.4,Pool,42,0.02,Cobble,0.05,0,0,0,0,0,0.05,No,34.672539,111.667871,NA,NA,12/4/2022 22:08,NA,NA,NA,NA,NA,NA,NA
74,NA,100,Beaver,December,Available,7.2,Run,59,0,Boulder,0.75,0,0,0,0,0,0.75,Yes,34.672581,111.666968,NA,NA,12/4/2022 22:44,NA,NA,NA,NA,NA,NA,NA
75,NA,49,Beaver,December,Available,3.8,Riffle,28,0.23,Cobble,0.1,0.15,0,0,0,0,0.25,Yes,34.673818,111.669875,NA,NA,12/4/2022 20:39,NA,NA,NA,NA,NA,NA,NA
76,NA,63,Beaver,December,Available,7.74,Riffle,65,0.35,Boulder,0.3,0.15,0,0,0,0,0.45,Yes,34.673436,111.669165,NA,NA,12/4/2022 21:10,NA,NA,NA,NA,NA,NA,NA
77,NA,51,Beaver,December,Available,9,Riffle,12,0.3,Pebble,0,0,0,0,0,0,0,Yes,34.673729,111.669644,NA,NA,12/4/2022 20:43,NA,NA,NA,NA,NA,NA,NA
78,NA,65,Beaver,December,Available,7.286,Run,71,0.04,Cobble,0,0,0,0,0,0,0,No,34.673358,111.669012,NA,NA,12/4/2022 21:15,NA,NA,NA,NA,NA,NA,NA
79,NA,92,Beaver,December,Available,6,Riffle,14,0,Boulder,0,0,0,0,0,0,0,Yes,34.67229,111.667634,NA,NA,12/4/2022 22:23,NA,NA,NA,NA,NA,NA,NA
80,NA,67,Beaver,December,Available,7.541,Run,62,0.1,Cobble,0,0,0,0,0,0,0,No,34.673286,111.668923,NA,NA,12/4/2022 21:18,NA,NA,NA,NA,NA,NA,NA
81,NA,55,Beaver,December,Available,10.043,Riffle,36,0.15,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.673642,111.669419,NA,NA,12/4/2022 20:53,NA,NA,NA,NA,NA,NA,NA
82,NA,69,Beaver,December,Available,5.862,Riffle,21,0.12,Pebble,0,0.1,0,0,0,0,0.1,No,34.673201,111.668797,NA,NA,12/4/2022 21:21,NA,NA,NA,NA,NA,NA,NA
83,NA,57,Beaver,December,Available,12.663,Pool,99,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.673513,111.669311,NA,NA,12/4/2022 20:57,NA,NA,NA,NA,NA,NA,NA
84,NA,71,Beaver,December,Available,5.416,Run,27,0.13,Boulder,0.35,0,0,0,0,0,0.35,No,34.673102,111.668688,NA,NA,12/4/2022 21:25,NA,NA,NA,NA,NA,NA,NA
85,NA,98,Beaver,December,Available,9.8,Pool,45,0.02,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.672512,111.667123,NA,NA,12/4/2022 22:39,NA,NA,NA,NA,NA,NA,NA
86,NA,99,Beaver,December,Available,9.7,Pool,50,0.03,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.672526,111.667052,NA,NA,12/4/2022 22:42,NA,NA,NA,NA,NA,NA,NA
87,NA,113,Beaver,December,Available,4,Pool,28,0.03,Cobble,0,0,0,0,0,0,0,NA,34.673151,111.666209,NA,"Changed canopy to NA, not clear in photo",12/4/2022 23:15,NA,NA,NA,NA,NA,NA,NA
88,NA,75,Beaver,December,Available,8.706,Run,37,0.01,Sand,0,0,0,0,0,0,0,No,34.672978,111.668465,NA,NA,12/4/2022 21:34,NA,NA,NA,NA,NA,NA,NA
89,NA,76,Beaver,December,Available,9.235,Run,82,0.01,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.672957,111.668372,NA,"mesohabitat changed from pool to run, verified by photos",12/4/2022 21:37,NA,NA,NA,NA,NA,NA,NA
90,NA,64,Beaver,December,Available,6.729,Run,25,0.06,Cobble,0,0,0,0,0,0,0,No,34.673441,111.669061,NA,NA,12/4/2022 21:13,NA,NA,NA,NA,NA,NA,NA
91,NA,78,Beaver,December,Available,7.584,Run,63,0.02,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.672869,111.668271,NA,NA,12/4/2022 21:41,NA,NA,NA,NA,NA,NA,NA
92,NA,105,Beaver,December,Available,7.3,Riffle,22,0,Cobble,0.1,0,0,0,0,0,0.1,NA,34.672881,111.666555,NA,"Changed canopy to NA, not clear in photo",12/4/2022 22:56,NA,NA,NA,NA,NA,NA,NA
93,NA,80,Beaver,December,Available,6.5,Pool,42,0,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672809,111.668206,NA,NA,12/4/2022 21:48,NA,NA,NA,NA,NA,NA,NA
94,NA,68,Beaver,December,Available,4.822,Riffle,20,0.26,Boulder,0.45,0,0,0,0,0,0.45,No,34.673248,111.668879,NA,NA,12/4/2022 21:20,NA,NA,NA,NA,NA,NA,NA
95,NA,82,Beaver,December,Available,4.4,Riffle,30,0.68,Cobble,0,0,0,0,0,0,0,Yes,34.672622,111.668191,NA,NA,12/4/2022 21:57,NA,NA,NA,NA,NA,NA,NA
96,NA,70,Beaver,December,Available,9.412,Riffle,35,0,Cobble,0.15,0,0,0,0,0,0.15,No,34.673146,111.668739,NA,NA,12/4/2022 21:23,NA,NA,NA,NA,NA,NA,NA
97,NA,97,Beaver,December,Available,10.7,Riffle,22,0.01,Cobble,0.6,0,0,0,0,0,0.6,Yes,34.672514,111.667134,NA,NA,12/4/2022 22:37,NA,NA,NA,NA,NA,NA,NA
98,NA,111,Beaver,December,Available,NA,Pool,88,0,Cobble,0,0,0,0,0,0,0,No,34.673102,111.666139,NA,Added NA to stream width,12/4/2022 23:12,NA,NA,NA,NA,NA,NA,NA
99,NA,112,Beaver,December,Available,3.5,Pool,56,0.15,Cobble,0.3,0,0,0,0,0,0.3,No,34.673179,111.666155,NA,Changed to Available,12/4/2022 23:13,NA,NA,NA,NA,NA,NA,NA
100,NA,91,Beaver,December,Available,8.5,Run,96,0,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672522,111.667686,NA,NA,12/4/2022 22:21,NA,NA,NA,NA,NA,NA,NA
101,NA,88,Beaver,December,Available,11.3,Pool,32,0,Pebble,0,0,0,0,0,0,0,Yes,34.672492,111.6679,NA,NA,12/4/2022 22:14,NA,NA,NA,NA,NA,NA,NA
102,NA,89,Beaver,December,Available,11.4,Pool,>150,NA,NA,0,0,0,0,0,0,0,NA,34.672525,111.667816,NA,NA,12/4/2022 22:16,NA,NA,NA,NA,NA,NA,NA
103,NA,90,Beaver,December,Available,13.3,Pool,68,0,Sand,0,0,0,0,0,0,0,Yes,34.672517,111.667694,NA,NA,12/4/2022 22:18,NA,NA,NA,NA,NA,NA,NA
104,NA,95,Beaver,December,Available,3.5,Riffle,27,0.45,Bedrock,0.2,0,0,0,0,0,0.2,No,34.672256,111.667297,NA,NA,12/4/2022 22:33,NA,NA,NA,NA,NA,NA,NA
105,NA,96,Beaver,December,Available,16.8,Riffle,7,0,Cobble,0,0,0,0,0,0,0,Yes,34.672444,111.667241,NA,NA,12/4/2022 22:34,NA,NA,NA,NA,NA,NA,NA
106,NA,106,Beaver,December,Available,3.7,Riffle,28,0.01,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672911,111.666507,NA,NA,12/4/2022 22:59,NA,NA,NA,NA,NA,NA,NA
107,NA,81,Beaver,December,Available,5.4,Run,50,0,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.672741,111.668221,NA,NA,12/4/2022 21:53,NA,NA,NA,NA,NA,NA,NA
108,NA,103,Beaver,December,Available,4,Riffle,21,0.18,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672759,111.66673,NA,NA,12/4/2022 22:50,NA,NA,NA,NA,NA,NA,NA
109,NA,104,Beaver,December,Available,5.1,Riffle,20,0.04,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.67288,111.666646,NA,NA,12/4/2022 22:53,NA,NA,NA,NA,NA,NA,NA
110,NA,101,Beaver,December,Available,7.2,Riffle,24,0.38,Boulder,0.75,0,0,0,0,0,0.75,Yes,34.672631,111.666879,NA,NA,12/4/2022 22:45,NA,NA,NA,NA,NA,NA,NA
111,NA,102,Beaver,December,Available,3.5,Riffle,16,0.13,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.672716,111.666814,NA,NA,12/4/2022 22:48,NA,NA,NA,NA,NA,NA,NA
112,NA,94,Beaver,December,Available,3.8,Run,50,0.27,Bedrock,0,0,0,0,0,0,0,No,34.672418,111.667489,NA,NA,12/4/2022 22:31,NA,NA,NA,NA,NA,NA,NA
113,NA,108,Beaver,December,Available,7.2,Pool,58,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.673037,111.666324,NA,NA,12/4/2022 23:05,NA,NA,NA,NA,NA,NA,NA
114,NA,109,Beaver,December,Available,7,Pool,92,0.05,Cobble,0,0,0,0,0,0,0,Yes,34.673058,111.666264,NA,NA,12/4/2022 23:08,NA,NA,NA,NA,NA,NA,NA
115,NA,114,Beaver,December,Available,4.2,Pool,23,0.05,Cobble,0.15,0,0,0,0,0,0.15,No,34.673103,111.666294,NA,NA,12/4/2022 23:17,NA,NA,NA,NA,NA,NA,NA
116,NA,107,Beaver,December,Available,5.9,Pool,18,0.01,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.67298,111.666362,NA,NA,12/4/2022 23:02,NA,NA,NA,NA,NA,NA,NA
