ObjectID,Creation Date,Stream,Site Type ,Tag,Stream Width (m),Mesohabitat,Depth cm,Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,,Data Change,
1,5/17/2022 18:43,Wet Beaver,Available,NA,7.39,Pool,80,0.03,Cobble,0,0,0,0.05,0,0,0.05,No,No,34.674853,111.672343,,,,
2,5/17/2022 18:53,Wet Beaver,Available,NA,6.13,Pool,22,0.01,Cobble,0,0,0,0,0,0,0,No,,34.674782,111.6723,,,,
3,5/17/2022 18:58,Wet Beaver,Available,NA,5.33,Riffle,40,0.08,Cobble,0,0,0,0,0,0,0,No,Yes,34.674807,111.672286,,,,
4,5/17/2022 19:05,Wet Beaver,Available,NA,4.16,Riffle,32,0.04,Cobble,0,0,0,0,0,0,0,No,Yes,34.674733,111.672328,,,,
5,5/17/2022 19:09,Wet Beaver,Available,NA,5.61,Riffle,26,0.25,Cobble,0,0,0,0,0,0,0,No,Yes,34.674613,111.672323,,,,
6,5/17/2022 19:14,Wet Beaver,Occupied,118,4.74,Riffle,22,0.69,Cobble,0,0,0,0,0,0,0,No,Yes,34.674628,111.672315,,,,
7,5/17/2022 19:18,Wet Beaver,Available,NA,5.39,Riffle,20,0.54,Cobble,0,0,0,0,0,0,0,No,Yes,34.674582,111.672285,,,,
8,5/17/2022 19:20,Wet Beaver,Available,NA,7.47,Riffle,12,0.3,Cobble,0,0,0,0.5,0,0,0.5,No,Yes,34.674542,111.672289,,,,
9,5/17/2022 19:23,Wet Beaver,Available,NA,13.77,Pool,8,0.01,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.674506,111.672379,,,,
10,5/17/2022 19:30,Wet Beaver,Available,NA,16.75,Pool,88,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.674327,111.672434,,,,
11,5/17/2022 19:38,Wet Beaver,Available,NA,17.75,Pool,112,0.02,Sand,0,0,0,0,0,0,0,No,Yes,34.67434,111.672385,,,,
12,5/17/2022 19:44,Wet Beaver,Available,NA,17.47,Pool,150,0.01,Sand,0,0,0,0,0,0,0,No,Yes,34.674256,111.672325,,,,
13,5/17/2022 19:50,Wet Beaver,Available,NA,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674159,111.672373,Lat long recorded from stream bank,,,
14,5/17/2022 19:54,Wet Beaver,Occupied,107,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674093,111.672181,"Lat long taken on shore, not at location of fish",,,
15,5/17/2022 19:56,Wet Beaver,Available,NA,NA,Pool,28,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674146,111.672073,,,,
16,5/17/2022 20:48,Wet Beaver,Available,NA,NA,Pool,76,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.6741,111.672027,,,,
17,5/17/2022 20:51,Wet Beaver,Available,NA,NA,Pool,50,0.02,Cobble,0,0,0,0,0,0,0,No,Yes,34.674064,111.671974,,,,
18,5/17/2022 20:55,Wet Beaver,Occupied,106,NA,Run,40,0.08,Cobble,0,0,0,0,0,0,0,No,No,34.674058,111.671934,,,,
19,5/17/2022 20:58,Wet Beaver,Available,NA,NA,Pool,22,0.05,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.674048,111.671873,,,,
20,5/17/2022 21:02,Wet Beaver,Available,NA,NA,Run,32,0.21,Cobble,0.2,0,0,0.05,0,0,0.25,No,Yes,34.674079,111.671795,,,,
21,5/17/2022 21:07,Wet Beaver,Occupied,143,NA,Run,42,0.21,Pebble,0,0,0,0,0,0,0,No,Yes,34.674034,111.671648,,,,
22,5/17/2022 21:09,Wet Beaver,Available,NA,NA,Riffle,16,0.21,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.674052,111.671779,,,,
23,5/17/2022 21:15,Wet Beaver,Occupied,110,NA,Riffle,29,0.19,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.674066,111.671672,,,,
24,5/17/2022 21:18,Wet Beaver,Available,NA,NA,Riffle,40,0.22,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.674057,111.671522,,,,
25,5/17/2022 21:22,Wet Beaver,Occupied,112,NA,Run,52,0.1,Cobble,0,0,0,0,0,0,0,No,No,34.674009,111.67149,,,,
26,5/17/2022 21:25,Wet Beaver,Available,NA,NA,Riffle,18,0.55,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.674031,111.671509,,,,
27,5/17/2022 21:30,Wet Beaver,Available,NA,NA,Run,46,0.11,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.67402,111.671419,,,,
28,5/17/2022 21:43,Wet Beaver,Available,NA,NA,Riffle,24,0.48,Boulder,0,1,0,0,0,0,1,No,Yes,34.673988,111.6713,,,,
29,5/17/2022 21:48,Wet Beaver,Available,NA,NA,Riffle,30,-0.01,Cobble,0,0,0,0,0,0,0,No,No,34.673966,111.671203,,,,
30,5/17/2022 21:52,Wet Beaver,Available,NA,NA,Riffle,12,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.674081,111.671177,,,,
31,5/17/2022 21:58,Wet Beaver,Occupied,159,NA,Riffle,36,0.13,Cobble,0,0.7,0,0,0,0,0.7,No,Yes,34.674007,111.67107,,,,
32,5/17/2022 22:03,Wet Beaver,Available,NA,NA,Riffle,20,0.63,Boulder,0,0,0,0,0,0.5,0.5,No,Yes,34.673997,111.67103,,,,
33,5/17/2022 22:06,Wet Beaver,Available,NA,NA,Riffle,18,0.39,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.673972,111.670968,,,,
34,5/17/2022 22:11,Wet Beaver,Available,NA,NA,Riffle,22,0.18,Pebble,0,0,0,0,0,0,0,No,Yes,34.673938,111.670882,,,,
35,5/17/2022 22:15,Wet Beaver,Available,NA,NA,Pool,28,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.67394,111.670737,,,,
36,5/17/2022 22:19,Wet Beaver,Occupied,104,NA,Pool,64,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.674004,111.670822,,,,
37,5/17/2022 22:22,Wet Beaver,Available,NA,NA,Pool,70,-0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.674028,111.670783,,,,
38,5/17/2022 22:27,Wet Beaver,Occupied,134,NA,Pool,88,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.674054,111.670712,,,,
39,5/17/2022 22:31,Wet Beaver,Available,NA,NA,Pool,92,-0.02,Cobble,0,0,0,0,0,0.3,0.3,No,Yes,34.674051,111.670683,,,,
40,5/17/2022 22:37,Wet Beaver,Available,NA,NA,Pool,>150,NA,Boulder,0,0,0,0,0,0,0,No,Yes,34.674142,111.670576,Lat long taken from bank,,,
41,5/17/2022 22:41,Wet Beaver,Available,NA,NA,Pool,>150,NA,NA,0,0,0,0.5,0,0,0.5,No,No,34.674082,111.670484,Lat long taken from bank,,,
42,5/17/2022 22:47,Wet Beaver,Available,NA,NA,Pool,>150,NA,Boulder,0,0,0,0,0,0,0,No,No,34.674002,111.670389,Lat long from bank,,,
43,5/17/2022 22:50,Wet Beaver,Available,NA,NA,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,No,No,34.673996,111.670304,Lat long from bank,,,
44,5/17/2022 22:54,Wet Beaver,Available,NA,NA,Run,33,0.01,Bedrock,0,0,0,0,0,0,0,No,Yes,34.673948,111.670225,,,,
45,5/17/2022 23:00,Wet Beaver,Occupied,113,NA,Run,118,0.14,Bedrock,0,0,0,0,0,0.6,0.6,No,Yes,34.673979,111.670226,,,,
46,5/17/2022 23:06,Wet Beaver,Available,NA,NA,Run,55,0.06,Cobble,0,0,0,0,0,0.6,0.6,No,No,34.673965,111.67013,,,,
47,5/17/2022 23:10,Wet Beaver,Available,NA,NA,Run,75,0.05,Bedrock,0,0,0,0,0,0,0,No,No,34.673943,111.670014,,,,
48,5/17/2022 23:12,Wet Beaver,Available,NA,NA,Riffle,19,0.62,Bedrock,0,0,0,0.05,0,0,0.05,No,Yes,34.673933,111.66992,,,,
49,5/17/2022 23:15,Wet Beaver,Available,NA,NA,Riffle,8,1.02,Boulder,0,0,0,0,0,0,0,No,Yes,34.673871,111.669858,,,,
50,5/17/2022 23:17,Wet Beaver,Available,NA,NA,Riffle,15,0.18,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.673815,111.669796,,,,
51,5/17/2022 23:19,Wet Beaver,Occupied,114,NA,Riffle,15,0.14,Cobble,0,0,0,0,0,0,0,No,Yes,34.673817,111.669741,Tag 124 washer 114,,Labeled correctly,
52,5/17/2022 23:23,Wet Beaver,Available,NA,NA,Riffle,12,-0.02,Cobble,0,0,0,0,0,0,0,No,Yes,34.673773,111.669717,,,,
53,5/17/2022 23:27,Wet Beaver,Available,124,NA,Riffle,36,0.13,Cobble,0,0,0,0,0,0,0,No,Yes,34.673777,111.669714,Tag on tree says 114 washer says 124,,Labeled correctly ,
54,5/17/2022 23:31,Wet Beaver,Available,NA,NA,Riffle,10,0.07,Pebble,0,0,0,0,0,0,0,No,Yes,34.673714,111.669655,,,,
55,5/17/2022 23:34,Wet Beaver,Available,NA,NA,Riffle,16,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.673671,111.6696,,,,
56,5/17/2022 23:37,Wet Beaver,Available,NA,NA,Riffle,26,0.5,Cobble,0,0,0,0.3,0,0,0.3,No,Yes,34.673636,111.669526,,,,
57,5/17/2022 23:41,Wet Beaver,Available,NA,NA,Riffle,26,0.16,Cobble,0,0,0,0.5,0,0,0.5,No,Yes,34.673674,111.669391,,,,
58,5/17/2022 23:51,Wet Beaver,Available,NA,NA,Pool,58,0.01,Sand,0,0,0,0,0,0,0,No,Yes,34.67356,111.669434,,,,
59,5/17/2022 23:55,Wet Beaver,Available,NA,NA,Pool,56,0.03,Gravel,0,0,0,0,0,0,0,No,Yes,34.673559,111.669265,,,,
60,5/18/2022 17:57,Wet Beaver,Available,NA,NA,Pool,90,0.03,Cobble,0,0,0,0.1,0,0,0.1,No,Yes,34.677719,111.695159,,,,
61,5/18/2022 18:16,Wet Beaver,Available,NA,Na,Riffle,20,0.33,Cobble,0,0,0,0,0,0,0,No,"No,NA",34.673374,111.669201,,,,
62,5/18/2022 18:27,Wet Beaver,Occupied,123,Na,Pool,88,0.06,Cobble,0,0,0,0,0,0,0,No,Yes,34.6734811,111.669386,,,,
63,5/18/2022 18:36,Wet Beaver,Occupied,120,Na,Pool,86,-0.01,Gravel,0.05,0,0,0.05,0,0,0.1,No,No,"34,673,454",111.669341,,,,
64,5/18/2022 19:03,Wet Beaver,Available,NA,na,Riffle,20,"0,03",Cobble,0.2,0,0,0,0,0,0.2,No,No,"34,673,424","111,669,078",,,,
65,5/18/2022 19:06,Wet Beaver,Occupied,121,Na,Riffle,56,0.13,Boulder,0.3,0,0,0,0,0,0.3,No,No,34.673333,111.669122,,,"Confirmed Occupied, confirmed May 18th from photo date",
66,5/18/2022 19:15,Wet Beaver,Available,NA,Na,Pool,76,0.04,Cobble,0,0,0,0,0,0,0,No,No,34.673332,111.669054,,,,
67,5/18/2022 19:24,Wet Beaver,Available,NA,Na,Pool,22,-0.01,Boulder,0,0,0,0,0,0,0,No,Yes,34.673258,111.668934,,,,
68,5/18/2022 19:43,Wet Beaver,Available,NA,Na,Riffle,40,0.51,Cobble,0,0,0,0,0,0,0,No,No,34.673219,111.668876,,,,
69,5/18/2022 19:51,Wet Beaver,Available,NA,18,Riffle,18,1.02,Boulder,0,1,0,0.3,0,0,1.3,No,Yes,34.673164,111.668775,,,,
70,5/18/2022 20:02,Wet Beaver,Available,Na,Na,Riffle,14,0.13,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673134,111.668696,,,,
71,5/18/2022 20:12,Wet Beaver,Available,NA,Na,Riffle,78,0.41,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.67306,111.668659,21,,,
72,5/18/2022 20:24,Wet Beaver,Available,NA,Na,Run,34,0.12,Cobble,0,0,0,0,0,0,0,No,No,34.672963,111.668585,,,,
73,5/18/2022 20:50,Wet Beaver,Available,NA,Na,Pool,36,0.03,Pebble,0,0,0,0,0,0,0,No2,Yes,34.672948,111.668496,,,,
74,5/18/2022 20:55,Wet Beaver,Occupied,140,Na,Pool,78,0.05,Boulder,0.8,0,0,0,0,0,0.8,No,No,34.672987,111.668502,"Visually confirmed 30+ DS Potential breeding behavior,flashing chasing brave",,,
75,5/18/2022 21:01,Wet Beaver,Occupied,108,Na,Pool,62,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.67296,111.668479,,,,
76,5/18/2022 21:07,Wet Beaver,Available,NA,Na,Pool,90,"-0,01",Cobble,0,0,0,0.4,0,0,0.4,No,Yes,34.6729831,"111,668,397",,,,
77,5/18/2022 21:12,Wet Beaver,Available,NA,Na,Pool,>150,0,Boulder,0.3,0,0,0.1,0,0,0.4,No,Yes,34.672941,111.668374,Lat long at bank,,,
78,5/18/2022 21:17,Wet Beaver,Available,NA,na,Pool,74,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.672874,111.668285,,,,
79,5/18/2022 21:27,Wet Beaver,Available,NA,,Pool,55,0.1,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.67285,111.668194,,,,
80,5/18/2022 21:30,Wet Beaver,Occupied,125,Na,Run,64,0.01,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.672813,111.668171,,,Confirmed Occupied,
81,5/18/2022 21:42,Wet Beaver,Available,NA,Na,Run,62,0.17,Boulder,0,0,0,0,0,0,0,No,Yes,34.672798,111.668119,,,,
82,5/18/2022 21:46,Wet Beaver,Available,NA,Na,Riffle,0.15,0.05,Gravel,0.4,0,0,0,0,0,0.4,No,Yes,34.672733,111.668092,,,,
83,5/18/2022 21:51,Wet Beaver,Available,NA,Na,Riffle,56,0.35,Boulder,0.5,0,0,0,0,0,0.5,No,Yes,34.672723,111.668018,,,,
84,5/18/2022 21:57,Wet Beaver,Available,NA,Na,Riffle,17,0.29,Cobble,..20,0,0,0,0,0,0,No,No,34.672653,111.667963,,,,
85,5/18/2022 22:01,Wet Beaver,Available,NA,Na,Pool,28,0.12,Cobble,0,0,0,0,0,0,0,No,Yes,34.672619,111.667893,,,,
86,5/18/2022 22:05,Wet Beaver,Available,NA,Na,Pool,120,0,Silt,0.1,0,0,0,0,0,0.1,No,Yes,34.672573,111.667815,,,,
87,5/18/2022 22:08,Wet Beaver,Available,NA,Na,Pool,74,-0.02,Silt,0,0,0,0.2,0,0,0.2,No,No,34.672564,111.667729,,,,
88,5/18/2022 22:11,Wet Beaver,Occupied,127,Na,Pool,>150,0,Silt,0,0,0,0.2,0,0,0.2,No,Yes,34.672595,111.667773,,,,Confirmed Occupied
89,5/18/2022 22:17,Wet Beaver,Available,NA,Na,Pool,>150,0,NA,0,0,0,0,0,0,0,No,Yes,34.672547,111.667696,,,,
90,5/18/2022 22:56,Wet Beaver,Available,NA,Na,Run,46,0.39,Bedrock,0,0,0,0,0,0,0,No,Yes,"34,672,614",111.667679,,,,
91,5/18/2022 23:00,Wet Beaver,Occupied,131,Na,Pool,56,-0.02,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.672588,111.667649,,,,
92,5/18/2022 23:05,Wet Beaver,Available,NA,Na,Riffle,26,0.3,Cobble,0,0,0,0,0,0,0,No,No,34.672537,111.667595,,,,
93,5/18/2022 23:08,Wet Beaver,Available,NA,Na,Run,32,0.09,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.672509,11.667483,,,,
94,5/18/2022 23:11,Wet Beaver,Available,NA,Na,Run,64,0.1,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.672466,111.667367,,,,
95,5/18/2022 23:15,Wet Beaver,Available,NA,,Riffle,8,0.08,Cobble,0,0,0,0,0,0,0,No,Yes,34.672444,11.667279,,,,
96,5/18/2022 23:19,Wet Beaver,Available,NA,Na,Riffle,8,0.66,Pebble,0,0,0,0.1,0,0,0.1,No,Yes,34.672447,111.667196,,,,
97,5/18/2022 23:24,Wet Beaver,Available,NA,Na,Riffle,18,0.23,Cobble,0.2,0,0,0.2,0.3,0,0.7,No,Yes,34.672518,111.667149,,,,
98,5/18/2022 23:28,Wet Beaver,Available,NA,Na,Pool,54,0.08,Boulder,0.1,0,0,0,0,0,0.1,No,Yes,34.672514,111.667134,,,,
99,5/18/2022 23:35,Wet Beaver,Available,NA,Na,Pool,38,0.07,Cobble,0,0,0,0,0,0,0,No,Yes,34.672577,111.667064,,,,
100,5/18/2022 23:41,Wet Beaver,Available,NA,Na,Pool,56,0.06,Boulder,0,0,0,0,0,0,0,No,Yes,34.67257611,11.666972,,,,
101,5/18/2022 23:45,Wet Beaver,Available,NA,Na,Run,56,0.23,Cobble,0,0,0,0,0,0,0,No,Yes,34.672621,111.666924,,,,
102,5/18/2022 23:47,Wet Beaver,Occupied,147,Na,Run,43,0.28,Boulder,0,0,0,0,0,0,0,No,Yes,34.672629,111.666916,,,,
103,5/18/2022 23:49,Wet Beaver,Occupied,148,Na,Run,44,0.15,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.672614,111.666949,,,,
104,5/18/2022 23:53,Wet Beaver,Available,NA,Na,Riffle,28,0.02,Cobble,0,0,0,0.1,0,0,0.1,No,No,34.67269,111.666867,,,,
105,5/18/2022 23:57,Wet Beaver,Available,NA,Na,Riffle,24,"0,17",Boulder,0.4,0,0,0,0,0,0.4,No,No,34.672719,11q.666787,,,,
106,5/18/2022 0:00,Wet Beaver,Available,NA,,Riffle,10,0.4,Boulder,0,0,0,0,0,0,0,No,Yes,"346,727,764",111.6667909,,,Confirmed 5/18 5:02 PM,
107,5/18/2022 0:00,Wet Beaver,Available,NA,,Riffle,18,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.672816,111.666666,,,Confirmed Date ,
108,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Riffle,18,0.37,Cobble,..10,0,0,0,0,0,0,No,No,34.67286,111.666567,,,Confirmed Date ,
109,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Riffle,16,0.07,Cobble,0.3,0,0,0,0,0,0.3,No,No,34.672908,111.666525,,,Confirmed Date ,
110,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Riffle,14,0.16,Cobble,0,0.1,0,0,0,0,0.1,No,No,34.672958,111.666461,,,Confirmed Date ,
111,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Pool,18,0.05,Boulder,0.3,0,0,0,0,0,0.3,No,Yes,34.67301,111.666399,,,Confirmed Date ,
112,5/18/2022 0:00,Wet Beaver,Occupied,155,Na,Pool,41,0.06,Gravel,0,0,0,0,0,0,0,No,Yes,34.673,111.666388,,,Confirmed Date ,
113,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Pool,31,0.01,Gravel,0,0,0,0,0.3,0,0.3,No,Yes,34.673019,111.666326,,,Confirmed Date ,
114,5/18/2022 0:00,Wet Beaver,Available,NA,,Pool,64,0.02,Sand,0,0,0,0,0,0,0,No,Yes,34.673055,111.666281,,,Confirmed Date ,
115,5/18/2022 0:00,Wet Beaver,Available,135,Na,Pool,64,0,Sand,0.3,0,0,0,0,0,0.3,No,Yes,34.673069,111.666302,,,Confirmed Date ,
116,5/18/2022 0:00,Wet Beaver,Available,NA,,Pool,80,-0.02,Sand,0,0,0,0,0,0,0,No,No,34.673091,111.666207,,,Confirmed Date ,
117,5/18/2022 0:00,Wet Beaver,Available,NA,Na,Pool,68,0.07,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673137,111.6163,,,Confirmed Date ,
118,5/18/2022 0:00,Wet Beaver,Occupied,145,Na,Pool,56,0.03,Cobble,0.3,0,0,0,0,0,0.3,No,No,34.6731,111.666305,,,Confirmed Date ,
119,5/18/2022 0:00,Wet Beaver,Available,NA,,Pool,38,0.11,Cobble,0.4,0,0,0,0,0,0.4,No,No,34.673092,111.666329,,,Confirmed Date ,
120,5/18/2022 0:00,Wet Beaver,Occupied,129,Na,Pool,>150,0,Cobble,0.5,0,0,0,0,0,0.5,No,Yes,34.673,111.666519,Visually confirmed,,Confirmed Date ,
121,5/18/2022 0:00,Wet Beaver,Available,152,NA,Pool,>150,0,Boulder,0.5,0,0,0,0,0,0.5,No,Yes,34.673,111.666519,Visually confirmed,,Confirmed 5/18 6:05PM,
