"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_25","Canopy_75","Canopy_t_stat_50","Canopy_p_50","Canopy_5","Canopy_95","Canopy_t_stat_90","Canopy_p_90","Canopy_Min","Canopy_Max","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support"
"1","BB","WB","High","RI",8,7,157,-1.081,-2.673,-0.4,-1.687,-0.494,1,0.068,-0.502,0.564,-0.289,0.429,0.6368,-0.78,-1.326,-0.202,-1.141,-0.338,0.9965,-1.092,-2.674,-0.428,-1.692,-0.525,1,0.126,-0.38,0.573,-0.195,0.446,0.6825,-0.188,-0.757,0.298,-0.584,0.212,0.7021,0.329,-0.314,7.227,-0.27,0.276,0.5242,0.042,0.189,2.2686,0.5286,0.013,0.327,0.5534,0.0498,0,0.5,22.526,37.002,1.018,0.2733,19.733,44.732,-0.3285,0.0017,18,49,4.524,5,0.6682,0.0217,3.568,5.284,0.5497,0.0217,3,6,0.153,0.299,1.9243,0.5341,0.093,0.483,0.6884,0.1898,0.05,0.75,0.524,1,NA,NA,0.142,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","High","PO",26,16,185,0.316,-0.008,0.621,0.14,0.488,0.973,0.025,-0.318,0.337,-0.19,0.233,0.5748,0.102,-0.23,0.467,-0.123,0.336,0.7046,0.404,0.059,0.79,0.206,0.619,0.987,0.253,-0.154,0.699,-0.018,0.528,0.8839,0.604,0.323,0.897,0.436,0.768,0.9997,0.003,-0.36,0.434,-0.235,0.231,0.4658,0,0.088,-1.0656,0.0023,0,0.202,NA,NA,0,0.22,49.743,120.761,1.3819,0.2915,36.623,150.115,1.2579,0.096,32,151,3.45,5.363,0.5453,0.0962,1.61,5.94,1.0805,0.1056,1,6,0,0.256,-2.0171,0.0083,0,0.52,NA,NA,0,0.6,0.259,1,NA,NA,0.003,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WB","High","RU",15,12,116,-0.089,-0.57,0.226,-0.34,0.115,0.6429,0.258,0.074,0.567,0.128,0.414,0.9979,0.178,-0.16,0.538,-0.052,0.417,0.8355,-0.078,-0.513,0.277,-0.305,0.112,0.662,0.263,0.07,0.616,0.124,0.443,0.9973,-0.093,-0.879,0.26,-0.551,0.16,0.4754,1.474,0.334,8.694,0.507,1.164,1,0.032,0.225,0.578,0.0154,0.013,0.405,0.5645,0.0053,0,0.5,42.821,59.38,1.8849,0.4938,34.616,69.01,1.4609,0.3028,31,79,4.617,5.376,0.5178,0.0149,3.627,6.566,0.5188,0.0264,3,7,0.001,0.112,0.609,0.0284,0,0.358,-0.1566,0.0244,0,0.6,0.9,1,NA,NA,0.256,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WB","Low","RI",11,9,259,-0.267,-1.034,0.382,-0.832,0.258,0.7636,0.506,0.24,0.771,0.327,0.681,1,0.115,-0.21,0.423,-0.123,0.36,0.7891,-0.239,-1.135,0.492,-0.879,0.373,0.7165,0.516,0.256,0.801,0.337,0.693,1,-3.309,-68.173,0.196,-1.647,-0.016,0.9104,-0.962,-8.337,-0.198,-1.036,-0.25,1,0.05,0.244,0.121,0.1058,0.022,0.385,0.3207,0.0327,0,0.81,25.751,39.237,0.4523,0.0592,20.443,42.845,1.2437,0.2454,18,44,4.894,5.319,1.1191,0.1627,4.397,5.792,1.3956,0.3171,4,6,0,0.149,1.1236,0.4563,0,0.386,0.0822,0.0602,0,0.7,0,0.54,NA,NA,0,0.886,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","Low","PO",46,19,312,-0.102,-0.738,0.294,-0.448,0.189,0.6078,0.222,-0.069,0.499,0.037,0.404,0.9323,0.146,-0.223,0.589,-0.105,0.414,0.7543,0.01,-0.646,0.467,-0.368,0.331,0.5669,0.232,-0.109,0.609,0.002,0.476,0.9017,0.306,-0.106,0.6,0.078,0.516,0.9447,0.168,-0.233,0.67,-0.101,0.44,0.7771,0,0.036,0.2428,0.0253,0,0.08,0.2077,0.0175,0,0.12,58.768,101.16,1.5281,0.4236,39.847,145.378,1.9215,0.6866,26,151,3.868,5.581,0.692,0.1082,1.682,6.575,NA,NA,1,7,0.001,0.244,-1.3683,0.0057,0,0.486,NA,NA,0,0.6,0.292,1,NA,NA,0.006,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WB","Low","RU",7,4,55,-3.621,-10.549,-1.133,-5.471,-1.46,1,0.425,0.1,0.945,0.187,0.737,0.9978,0.005,-0.48,0.349,-0.325,0.271,0.5489,-4.107,-10.276,-0.999,-5.641,-1.36,1,0.186,-0.199,0.593,-0.067,0.401,0.8007,0.499,0.156,1.221,0.216,0.755,1,0.686,-0.404,8.585,-0.32,0.575,0.6213,0.016,0.057,0.9924,0.1558,0.005,0.079,0.3722,0.1233,0,0.13,45.455,58.829,0.7267,0.1509,37.626,61.699,0.1338,0.011,30,64,5.063,5.75,1.0973,0.1478,4.713,5.95,1.0787,0.1478,3,6,0.196,0.281,2.2161,0.7203,0.144,0.296,2.0502,0.6215,0,0.3,0.342,0.81,0.6623,0.058,0.119,0.962,0.6623,0.058,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WC","High","RI",12,12,119,-0.212,-0.743,0.104,-0.561,0.026,0.8582,0.547,0.236,0.89,0.338,0.766,1,0.525,0.181,1.118,0.249,0.882,0.9999,-0.53,-1.381,-0.073,-1.055,-0.17,0.9937,0.682,0.302,1.118,0.423,0.948,1,0.335,0.065,0.606,0.154,0.508,0.9925,2.156,0.412,7.048,0.45,7.032,1,0.097,0.342,1.1907,0.2417,0.006,0.657,0.3036,0.0078,0,0.97,35.915,59.453,0.7643,4e-04,30.406,66.432,1.2548,0.0426,29,70,5.045,6,0.9637,0.0777,3.757,6,0.6283,0.0439,3,6,0.209,0.552,0.4942,0.0576,0.091,0.682,0.6557,0.0461,0.05,0.7,1,1,1.3051,0.2451,0.551,1,1.3051,0.2451,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BB","WC","High","PO",12,12,86,-0.128,-0.435,0.107,-0.306,0.024,0.8562,-0.46,-0.929,-0.166,-0.745,-0.234,0.9998,-0.365,-0.646,-0.087,-0.546,-0.182,0.9946,-0.194,-0.563,0.063,-0.397,-0.023,0.9308,-0.468,-0.91,-0.184,-0.738,-0.253,1,0.289,-0.189,0.655,-0.014,0.541,0.8951,-0.457,-0.898,-0.106,-0.696,-0.201,0.9992,0.003,0.064,0.6828,0.1582,0,0.101,0.5595,0.0201,0,0.14,41.66,75.21,1.4454,0.4256,34.07,121.183,1.1696,0.0586,32,151,3,4.76,1.6506,0.522,1.414,4.993,1.7468,0.6488,1,5,0,0.291,-0.3732,0,0,0.529,NA,NA,0,0.6,0,0.954,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WC","High","RU",9,9,43,-1.985,-7.053,-0.475,-4.902,-0.582,1,0.778,0.103,2.257,0.261,1.168,0.9877,0.224,-0.129,0.621,-0.016,0.468,0.8894,-1.408,-5.013,-0.294,-3.39,-0.423,0.9981,0.676,0.041,3.087,0.191,0.993,0.9828,-1.845,-4.538,-0.153,-3.183,-0.261,0.9977,2.964,0.09,8.53,0.218,8.454,0.9917,0.002,0.031,1.2475,0.2192,0,0.151,0.753,0.2384,0,0.26,52.195,121.865,-0.0629,0.0109,41.093,145.771,0.7692,0.0182,36,151,4.852,5.151,0.9692,0.1332,4.442,5.564,0.9692,0.1332,4,6,0,0.048,1.6702,0.3915,0,0.337,0.3303,0.3293,0,0.6,0.847,1,0.9693,0.1118,0.433,1,0.9693,0.1118,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BB","WC","Low","RI",41,10,681,-0.626,-2.368,0.339,-1.537,0.145,0.8156,0.69,0.064,1.314,0.279,1.098,0.9844,-0.103,-0.514,0.382,-0.392,0.21,0.7014,-0.668,-2.474,0.37,-1.634,0.162,0.8117,0.695,0.083,1.309,0.3,1.091,0.9862,-0.705,-2.244,0.216,-1.523,-0.015,0.9067,-0.091,-0.85,0.393,-0.592,0.287,0.8226,0.048,0.211,0.6843,0.1702,0.012,0.419,0.4316,0.113,0,1.2,34.57,48.646,0.719,0.1562,26.64,56.172,0.4738,0.1173,4,66,4.245,5.063,1.2358,0.3651,3.464,5.428,1.3682,0.4184,2,6,0.046,0.225,0.9609,0.2078,0.01,0.415,0.7202,0.1777,0,1,0.279,0.969,NA,NA,0.057,0.997,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BB","WC","Low","PO",36,10,482,0.226,-0.016,0.441,0.086,0.372,0.9682,-0.048,-0.607,0.444,-0.405,0.283,0.5544,-0.56,-1.387,0.104,-1.038,-0.111,0.9519,0.233,0.001,0.452,0.097,0.375,0.9752,-0.019,-0.6,0.554,-0.423,0.356,0.5241,-0.052,-0.679,0.551,-0.313,0.42,0.3522,0.323,-0.369,0.994,-0.078,0.588,0.7564,0.027,0.07,2.0086,0.5015,0.008,0.101,1.0843,0.4191,0,0.21,64.505,106.039,1.1779,0.207,53.082,134.969,1.2332,0.2397,10,151,1.447,4.432,1.0242,0.1634,1.059,5.776,NA,NA,1,7,0.011,0.259,-0.1954,0.0232,0.001,0.491,-0.6195,0.0076,0,0.9,0.22,0.971,NA,NA,0.028,0.999,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BB","WC","Low","RU",15,9,116,-0.078,-0.646,0.327,-0.421,0.212,0.5735,1.118,0.445,1.85,0.609,1.59,1,0.063,-0.511,0.681,-0.317,0.46,0.5745,-0.042,-0.597,0.411,-0.368,0.248,0.5367,1.127,0.426,1.934,0.593,1.632,1,-0.153,-0.669,0.214,-0.452,0.114,0.7371,0.56,-0.605,7.038,-0.46,0.316,0.4766,0.096,0.176,0.6602,0.1387,0.037,0.226,0.5682,0.0777,0,0.3,53.982,67.002,0.952,0.1382,46.909,89.677,1.1315,0.1996,36,110,3.644,5.454,0.1794,0.0242,2.834,5.862,0.4718,0.0301,2,6,0.044,0.268,0.5543,0.106,0.006,0.332,0.9266,0.1208,0,0.45,0.562,0.997,NA,NA,0.187,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","DS","WB","High","RI",18,14,167,0.165,-0.686,0.668,-0.298,0.543,0.7739,0.222,-0.098,0.533,0.018,0.425,0.9182,-0.129,-0.45,0.202,-0.341,0.089,0.7827,0.143,-0.716,0.659,-0.32,0.529,0.7491,0.202,-0.149,0.53,-0.023,0.42,0.8763,0.221,-0.078,0.505,0.03,0.406,0.9299,0.792,0.085,7.368,0.127,0.611,0.9992,0.061,0.454,-0.5021,0.0051,0.005,1.215,-1.1157,0.001,0,1.76,24.762,39.742,0.1285,0.0043,21.143,45.743,1.243,0.1305,20,49,5,5.546,0.4434,0.0141,4.268,5.969,0.8152,0.0307,4,6,0.224,0.452,1.7449,0.5618,0.092,0.684,1.1649,0.2242,0.05,0.9,1,1,0.8786,0.0642,0.248,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
