"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_25","Canopy_75","Canopy_t_stat_50","Canopy_p_50","Canopy_5","Canopy_95","Canopy_t_stat_90","Canopy_p_90","Canopy_Min","Canopy_Max","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support"
"14","DS","WB","High","PO",12,9,171,-2.908,-84.579,0.578,-2.663,0.427,0.6394,0.622,0.011,1.346,0.129,0.906,0.9788,0.176,-0.641,1.213,-0.36,0.83,0.6459,-2.061,-79.803,1.125,-1.626,0.799,0.308,0.841,0.177,1.868,0.33,1.228,0.9994,0.759,-0.661,1.514,0.538,1.291,0.9505,0.454,-0.382,7.585,-0.29,0.467,0.5976,0,0.031,0.1952,0.0531,0,0.124,-0.9902,0.0295,0,0.3,77.209,147.071,0.9822,0.0857,50.868,150.752,0.9992,0.1162,35,151,3.388,5.57,0.2758,0.0166,2.009,6.373,-0.5059,0.0043,1,7,0.005,0.336,-2.2477,0.0038,0,0.663,-3.8833,0.0122,0,0.9,0.527,1,NA,NA,0.137,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","DS","WB","High","RU",9,8,110,-0.447,-0.867,-0.092,-0.732,-0.185,0.9971,0.346,0.131,0.764,0.189,0.547,1,-0.055,-0.545,0.492,-0.401,0.31,0.5907,-0.369,-0.717,-0.055,-0.606,-0.145,0.9903,0.341,0.112,0.828,0.17,0.61,0.9999,0.319,0.007,0.693,0.134,0.524,0.9765,0.031,-0.388,0.442,-0.335,0.388,0.6079,0.072,0.147,1.0738,0.2463,0.024,0.185,1.0392,0.1365,0,0.25,47.986,64.105,0.7011,0.0801,34.486,71.867,0.51,0.1259,26,76,3.841,5.409,-0.4427,0,3.169,6.424,0.0743,0.0039,3,7,0.056,0.277,0.4216,0.1326,0.01,0.428,-0.2674,0.0179,0,0.5,0.055,0.947,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","DS","WB","Low","RI",22,13,270,0.131,-0.359,0.461,-0.158,0.373,0.783,0.478,0.1,0.831,0.238,0.704,0.9916,0.336,-0.073,0.688,0.074,0.575,0.9494,0.22,-0.351,0.609,-0.11,0.499,0.8449,0.516,0.154,0.867,0.284,0.74,0.9966,0.25,-0.358,0.681,-0.094,0.556,0.8394,0.142,-0.224,0.76,-0.139,0.404,0.7463,0.128,0.242,3.0617,0.8754,0.078,0.537,1.5701,0.4343,0,0.72,21.535,40.414,0.8544,0.1265,15.848,53.579,0.3987,0.0518,11,64,4.993,5.789,1.8329,0.5658,4.548,5.985,1.5988,0.5317,3,6,0.054,0.413,0.2924,0.0406,0.007,0.719,-0.7579,0.0129,0,0.9,0.299,1,NA,NA,0.016,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","DS","WB","Low","PO",20,12,286,-0.146,-0.883,0.357,-0.564,0.223,0.6088,0.287,-0.051,0.594,0.072,0.494,0.9549,-0.119,-0.438,0.259,-0.34,0.11,0.7599,0.005,-0.805,0.637,-0.485,0.452,0.5413,0.312,-0.156,0.853,-0.009,0.65,0.8941,0.644,0.33,0.926,0.451,0.829,1,0.144,-0.317,0.788,-0.139,0.413,0.7095,0,0.036,0.4131,0.0075,0,0.077,0.016,0.0034,0,0.14,60.095,108.59,1.8696,0.6424,37.239,144.214,0.9072,0.3051,4,151,3.433,4.97,1.0989,0.1897,2.018,5.604,1.2373,0.1716,1,6,0.068,0.344,1.1977,0.5458,0.007,0.606,-1.3889,0.2131,0,0.8,0.275,1,NA,NA,0.018,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","DS","WB","Low","RU",9,9,57,-0.176,-1.052,0.481,-0.57,0.091,0.7725,0.661,0.003,1.415,0.157,1.082,0.9761,0.13,-0.252,0.582,-0.121,0.414,0.722,0.077,-0.753,0.806,-0.332,0.446,0.6259,0.716,-0.036,1.662,0.129,1.261,0.9659,0.347,-0.32,0.936,-0.061,0.697,0.867,0.55,0,1.054,0.059,0.931,0.962,0.057,0.157,-0.2487,0.0038,0.025,0.231,-0.2129,2e-04,0.01,0.28,39.646,61.069,0.4168,0.2273,34.007,92.652,0.5017,0.0163,30,118,5.029,6.178,0.5335,0.0385,4.496,6.782,0.5976,0.0194,4,7,0.006,0.329,-1.2296,0.0034,0,0.513,-1.1648,0,0,0.6,0.358,1,NA,NA,0.065,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","DS","WC","High","RI",10,9,117,0.132,-0.743,0.686,-0.407,0.552,0.7224,0.026,-0.446,0.451,-0.28,0.317,0.5547,0.672,0.294,1.138,0.422,0.959,1,0.156,-0.903,0.803,-0.375,0.625,0.7116,-0.063,-0.652,0.438,-0.435,0.278,0.5818,0.329,-0.27,0.772,0.011,0.63,0.9063,7.215,6.815,7.304,7.176,7.288,1,0.073,0.604,-1.0031,0.0245,0.018,0.976,-0.9778,0.0043,0,1.18,28.521,49.471,-0.2133,0.0014,23.362,57.078,0.285,1e-04,21,60,5.03,5.864,1.5774,0.3428,5,5.988,1.6479,0.3882,5,6,0.222,0.516,0.5797,0.1193,0.109,0.755,-0.0265,0.0501,0.05,0.9,1,1,1.4422,0.0379,1,1,1.4422,0.0379,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","DS","WC","High","PO",7,7,81,-42.519,-149.597,-0.096,-147.087,-0.165,0.9953,5.723,1.081,17.28,1.133,17.155,1,-6.476,-28.234,0,-27.843,-0.064,0.9641,0.568,0.2,2.519,0.225,0.967,0.9937,5.913,1.258,17.608,1.319,17.364,1,-37.925,-45.257,-22.704,-45.091,-23.296,1,7.447,0,8.165,7.609,8.133,0.9779,0,0,1.6521,0.3125,0,0.096,0.3673,0.2913,0,0.17,151,151,2.7071,1,99.407,151,2.0915,0.4682,60,151,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,1.7502,0.8658,0,0,1.7502,0.8658,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","DS","WC","High","RU",3,3,37,-0.372,-0.873,0.039,-0.736,-0.079,0.9591,0.089,-0.249,0.555,-0.161,0.386,0.5656,1.051,0.064,1.927,0.168,1.785,0.9897,-0.356,-0.808,0.036,-0.668,-0.08,0.9595,0.11,-0.217,0.782,-0.134,0.377,0.6166,-0.664,-1.64,0.039,-1.423,-0.079,0.9583,-2.936,-8.722,0.04,-8.61,-0.04,0.9576,0.069,0.099,NA,NA,0.057,0.111,NA,NA,0.04,0.13,58.595,68.651,NA,NA,54.573,72.674,NA,NA,46,76,5.334,6.003,NA,NA,5.067,6.27,NA,NA,5,7,0.067,0.134,NA,NA,0.04,0.16,NA,NA,0,0.2,0.168,0.503,NA,NA,0.034,0.637,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","DS","WC","Low","RI",26,13,666,-0.201,-0.657,0.113,-0.458,0.028,0.8581,0.84,0.395,1.282,0.546,1.132,1,0.124,-0.252,0.618,-0.15,0.439,0.699,-0.219,-0.711,0.142,-0.505,0.041,0.8471,0.838,0.398,1.286,0.547,1.128,1,0.201,-0.233,0.591,-0.075,0.474,0.8255,0.38,-0.349,7.131,-0.157,0.503,0.6735,0.093,0.281,1.1359,0.172,0.028,0.375,0.9166,0.0671,0,0.45,36.704,51.64,1.963,0.6459,27.905,55.778,1.1998,0.243,17,63,4.4,5.647,0.7087,0.0329,3.372,5.97,0.7963,0.0184,3,6,0.153,0.43,1.038,0.177,0.07,0.617,0.8544,0.1172,0,1,0.673,1,NA,NA,0.134,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","DS","WC","Low","PO",24,11,470,0.443,0.242,0.634,0.313,0.569,0.9998,-0.004,-0.392,0.319,-0.243,0.222,0.4832,0.236,-0.286,0.762,-0.104,0.582,0.8189,0.513,0.24,0.798,0.326,0.696,0.9998,0.289,-0.279,0.862,-0.085,0.667,0.8371,0.368,-0.039,0.687,0.131,0.587,0.9656,5.101,0.643,8.424,1.023,8.41,1,0.048,0.116,3.864,0.8346,0.011,0.169,1.1929,0.5282,0,0.33,69.983,104.103,2.2772,0.7859,51.631,137.908,1.4095,0.3519,8,151,3.78,5.926,2.1096,0.7053,2.343,6.077,1.9304,0.5435,1,7,0.063,0.417,1.0982,0.4316,0.007,0.537,0.4019,0.1249,0,0.8,0.989,1,2.6659,0.9783,0.694,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","DS","WC","Low","RU",12,8,113,-0.476,-1.226,0.014,-0.904,-0.114,0.9696,2.785,1.256,3.861,1.895,3.528,1,0.294,-0.197,0.868,-0.068,0.6,0.8488,-0.321,-1.133,0.413,-0.793,0.117,0.8408,2.798,1.225,3.981,1.903,3.595,1,-0.08,-1.067,0.457,-0.591,0.341,0.5556,-0.149,-0.772,0.289,-0.56,0.206,0.7952,0.055,0.13,0.922,0.2784,0.019,0.199,0.5699,0.0738,0,0.24,56.857,96.763,0.7446,0.0713,53.425,134.278,1.7282,0.4917,52,151,4.345,5,1.3635,0.3086,3.445,6.13,0.4159,0.1913,3,7,0.02,0.283,-0.093,0.007,0.002,0.525,-0.5697,0.0089,0,0.7,0.325,0.991,NA,NA,0.06,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BB","WB","High","Meso",49,27,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.304,0.959,1.675,1.068,1.535,0.956,0.478,0.141,0.808,0.274,0.691,1,1.308,0.768,1.892,0.959,1.682,0.846,-1.081,-2.292,-0.319,-1.652,-0.536,0.999,-0.014,-0.722,0.626,-0.454,0.414,0.502
"26","BB","WB","Low","Meso",64,21,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.615,1.238,1.975,1.376,1.852,0.999,0.381,0,0.763,0.15,0.613,0.999,0.806,0,2.276,0,1.604,0.752,-1.99,-16.96,-0.51,-2.498,-0.822,1,-4.176,-15.024,0.466,-14.93,0.102,0.841
"27","BB","WC","High","Meso",33,33,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.064,0.745,1.388,0.854,1.266,0.641,0.731,0.509,0.946,0.587,0.871,0.996,1.733,1.073,2.439,1.29,2.147,0.983,-0.375,-0.919,0.167,-0.728,-0.026,0.914,0.479,-0.15,1.058,0.074,0.863,0.935
"28","BB","WC","Low","Meso",92,17,1279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.236,0.672,1.766,0.886,1.564,0.83,0.69,0.309,1.082,0.46,0.933,0.955,1.934,0,4.238,0.894,3.272,0.744,-0.61,-1.596,0.285,-1.194,-0.022,0.907,-0.876,-14.831,1.563,-0.582,1.213,0.338
"29","DS","WB","High","Meso",39,23,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,0.44,1.147,0.578,1.045,0.87,1.359,0.942,1.806,1.09,1.642,0.938,0.825,0.238,1.445,0.463,1.22,0.749,0.565,-0.128,1.351,0.11,1.038,0.944,-0.063,-1.392,1.035,-0.709,0.695,0.471
"30","DS","WB","Low","Meso",51,20,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764,0.413,1.151,0.545,1.008,0.889,1.016,0.6,1.411,0.75,1.276,0.555,2.253,0.72,4.21,0.905,3.508,0.896,0.299,-0.57,1.214,-0.26,0.868,0.753,0.896,-0.341,2.19,0.188,1.782,0.923
"31","DS","WC","High","Meso",20,19,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.071,0.627,1.491,0.807,1.327,0.66,0.954,0.685,1.243,0.747,1.15,0.607,1.012,0.411,1.568,0.46,1.437,0.43,-0.108,-0.736,0.619,-0.532,0.323,0.646,-0.222,-1.173,0.745,-0.884,0.48,0.546
"32","DS","WC","Low","Meso",62,14,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892,0.261,1.608,0.519,1.344,0.551,0.903,0.376,1.337,0.559,1.269,0.688,2.1,0,4.877,0,3.708,0.888,0.226,-1.207,1.622,-0.761,0.896,0.501,-0.561,-14.507,2.773,-13.96,1.943,0.2
