"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","Active","Meso",55,21,520,1.375,1.118,1.623,1.209,1.54,0.999,0.214,0,0.44,0.119,0.387,1,0.598,0,1.591,0,1.312,0.812,-3.198,-17.208,-0.955,-2.553,-1.181,1,-4.927,-15.22,0.235,-15.156,0.022,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","Inactive","Meso",38,21,409,0.861,0.466,1.285,0.603,1.13,0.754,0.607,0.178,1.129,0.33,0.938,0.928,1.771,1.052,2.52,1.302,2.255,0.985,-0.86,-2.073,0.399,-1.494,0.034,0.892,0.49,-0.257,1.279,0.012,0.981,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WB","March","Meso",16,16,116,1.374,1.066,1.745,1.157,1.603,0.996,0.409,0.167,0.622,0.19,0.575,1,1.495,0,3.054,0.727,2.387,0.704,-1.386,-2.303,-0.644,-2.083,-0.76,1,-0.801,-15.364,0.749,-0.75,0.511,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WC","Active","Meso",82,17,1150,1.171,0.682,1.717,0.836,1.532,0.711,0.708,0.307,1.124,0.443,0.993,0.909,2.234,0,5.203,0.531,4.009,0.885,-0.584,-1.593,0.308,-1.18,0.012,0.896,-0.817,-14.922,1.703,-0.479,1.345,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WC","Inactive","Meso",10,10,129,1.291,0.69,1.954,0.936,1.705,0.832,0.879,0.331,1.378,0.586,1.229,0.715,0.642,0,1.193,0,1.05,0.839,-0.639,-1.937,0.366,-1.235,0.016,0.896,-4.964,-15.902,0.102,-15.747,-0.167,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WC","March","Meso",17,17,142,0.597,0.208,0.92,0.394,0.845,0.997,1.132,0.807,1.474,0.924,1.345,0.771,2.182,0.804,4.047,0.978,3.297,0.891,0.431,-0.35,1.601,-0.15,0.92,0.817,0.806,-0.318,2.262,0.095,1.705,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DS","WB","Active","Meso",44,20,509,0.58,0.318,0.884,0.415,0.777,0.997,0.837,0.499,1.193,0.62,1.07,0.808,2.155,0.671,3.788,1.236,3.178,0.957,0.375,-0.498,1.279,-0.204,0.954,0.795,1.232,0,2.309,0.593,1.946,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","DS","WB","Inactive","Meso",29,18,400,0.576,0.183,0.988,0.346,0.842,0.977,1.329,0.783,1.922,0.951,1.706,0.864,1.253,0.585,1.998,0.833,1.732,0.717,0.644,-0.342,1.857,-0.029,1.223,0.893,0.591,-0.532,1.911,-0.134,1.269,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","DS","WB","March","Meso",13,13,113,0.923,0.572,1.341,0.65,1.184,0.652,1.01,0.587,1.463,0.712,1.309,0.493,0.916,0,2.138,0,1.651,0.417,0.062,-0.838,0.903,-0.49,0.629,0.574,-4.3,-14.869,0.917,-14.719,0.636,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","DS","WC","Active","Meso",56,14,1124,0.859,0.225,1.628,0.442,1.353,0.647,0.936,0.42,1.455,0.605,1.258,0.572,2.251,0,5.623,0,4.331,0.848,0.236,-1.204,1.641,-0.734,0.914,0.519,-0.86,-14.633,2.782,-14.098,2.035,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","DS","WC","Inactive","Meso",6,6,125,0.862,0,1.515,0.554,1.365,0.592,0.737,0,1.254,0.483,1.168,0.659,2.117,0,3.947,1.277,3.447,0.933,-0.413,-16.985,15.625,-1.211,0.438,0.673,0.628,-15.985,16.747,-0.182,1.576,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","DS","WC","March","Meso",10,9,135,1.699,1.166,2.358,1.25,2.143,1,0.641,0.295,1.027,0.316,0.968,0.948,0,0,0,0,0,1,-1.496,-2.357,-0.425,-2.197,-0.536,1,-15.519,-16.007,-14.358,-15.902,-14.679,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BB","WB","Active","RI",6,5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.084,-1.641,0.722,-0.626,0.577,0.512,0.315,-0.157,0.71,-0.095,0.597,0.8557,0.431,-0.038,0.825,0.079,0.76,0.941,-0.078,-1.901,0.813,-0.686,0.698,0.4845,0.366,-0.149,0.767,0.04,0.644,0.9028,-0.247,-4.076,0.76,-0.824,0.535,0.4539,-1.17,-8.655,0.134,-0.698,0.101,0.7118,0.116,0.32,0.1132,0,0.054,0.42,-0.7098,0,0,0.81,22.627,32.214,0.4023,2e-04,20.047,37.304,-0.1128,0,18,44,5.15,5.6,1.2432,0.1831,5.03,5.839,1.2432,0.1831,5,6,0.1,0.328,0.2533,0.0093,0.034,0.445,-0.6167,0.0093,0,0.7,1.1474,0.447,0,0,1
"14","BB","WB","Active","PO",44,19,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196,-0.895,0.237,-0.576,0.127,0.7384,0.294,0.009,0.57,0.11,0.477,0.9778,0.076,-0.298,0.522,-0.18,0.343,0.6263,-0.051,-0.774,0.45,-0.463,0.306,0.5123,0.282,-0.068,0.672,0.042,0.526,0.9372,0.285,-0.136,0.597,0.045,0.502,0.9279,0.17,-0.242,0.672,-0.11,0.437,0.7791,0,0.034,0.4421,0.0402,0,0.081,0.3241,0.0329,0,0.12,59.807,104.195,1.4989,0.4134,40.275,145.86,1.9729,0.6987,26,151,3.871,5.615,0.5723,0.082,1.675,6.582,NA,NA,1,7,0.001,0.256,-1.2006,0.0082,0,0.501,NA,NA,0,0.6,0.7729,0.53,0,0,1
"15","BB","WB","Active","RU",5,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.064,-16.613,-1.221,-13.827,-1.522,1,0.813,0.429,1.525,0.551,1.156,1,-0.186,-1.005,0.225,-0.637,0.152,0.5815,-1786072451233.61,-289.807,-0.728,-12.906,-1.146,1,-185109205979.147,-0.15,31.75,0.107,0.743,0.0387,0.404,-0.242,1.204,-0.049,0.683,0.8852,4.783,-0.105,9.089,0.035,8.54,0.9114,0.017,0.043,NA,NA,0.006,0.054,NA,NA,0,0.13,56.216,59.991,NA,NA,54.705,61.501,NA,NA,52,64,4.835,5.39,NA,NA,4.613,5.613,NA,NA,3,6,0.194,0.25,NA,NA,0.172,0.272,NA,NA,0,0.3,1.2453,0.473,0,0,1
"16","BB","WB","Inactive","RI",8,8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.104,-2.235,-0.651,-1.909,-0.718,1,0.431,0.17,0.749,0.244,0.629,1,-0.622,-0.944,-0.217,-0.845,-0.366,1,-1.043,-2.117,-0.593,-1.795,-0.671,1,0.421,0.143,0.76,0.213,0.642,0.9998,-1.829,-4.654,-1.127,-2.469,-1.2,1,-0.532,-1.069,-0.141,-0.958,-0.198,1,0.028,0.077,1.8563,0.4777,0.009,0.219,1.2828,0.2855,0,0.32,29.123,39.624,0.4203,0.0018,22.284,42.73,0.6676,0.0575,18,44,4.241,5,0.8071,0.0142,3.462,5,0.9224,0.0575,3,5,0,0.078,1.4118,0.4611,0,0.135,1.7982,0.6034,0,0.15,1.9752,0.266,0,0,1
"17","BB","WB","Inactive","PO",15,9,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153,-0.25,0.446,-0.058,0.347,0.8366,-0.322,-1.057,0.233,-0.794,0.113,0.8339,0.012,-0.365,0.503,-0.259,0.329,0.4759,0.088,-0.286,0.379,-0.127,0.288,0.7335,-0.28,-0.997,0.302,-0.763,0.137,0.7895,1.242,-0.047,2.214,0.74,2.008,0.969,-0.295,-1.062,0.435,-0.698,0.047,0.8195,0.008,0.055,0.0503,0.1066,0.001,0.066,0.4923,0.1194,0,0.07,40.155,81.179,0.2956,0.0361,34.238,120.686,0.7141,0.068,32,151,3.703,4.921,1.2419,0.2374,2.177,5.237,0.875,0.1262,1,6,0.005,0.276,-2.0219,0.1089,0,0.492,NA,NA,0,0.6,1.2114,0.46,0,0,1
"18","BB","WB","Inactive","RU",15,12,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,-0.775,0.022,-0.546,-0.062,0.9625,0.229,0.009,0.572,0.081,0.419,0.9809,0.249,-0.018,0.526,0.07,0.431,0.9633,-0.223,-0.722,0.115,-0.49,0.02,0.8755,0.18,-0.055,0.542,0.019,0.369,0.9265,0.2,-0.275,0.529,-0.067,0.399,0.8491,0.426,-0.043,1.071,0.126,0.726,0.964,0.031,0.145,0.9242,0.0825,0.013,0.229,1.0135,0.1084,0,0.28,38.962,58.594,1.2849,0.1931,31.767,68.859,1.1647,0.0652,30,79,4.905,5.385,1.1286,0.1946,4.258,6.17,1.5182,0.4788,4,7,0.005,0.147,0.025,0.0499,0,0.409,-0.6881,0.0076,0,0.6,1.5349,0.337,0,0,1
"19","BB","WB","March","RI",3,3,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-501861437335.579,-7.184,-0.647,-5.556,-0.744,1,-1.768,-3.979,-0.209,-3.345,-0.28,0.9998,-0.813,-1.911,-0.256,-1.592,-0.319,1,-258323164249.012,-241.25,-0.664,-4.787,-0.763,1,76127781593.13,-149.714,-0.195,-2.202,-0.285,0.0011,-0.504,-1.076,-0.03,-0.929,-0.115,0.9856,2.548,-0.409,8.106,-0.341,8.079,0.3365,0.15,0.297,NA,NA,0.091,0.356,NA,NA,0.06,0.5,25.513,31.867,NA,NA,22.971,34.408,NA,NA,22,41,4.502,4.834,NA,NA,4.369,4.967,NA,NA,4,5,0.25,0.35,NA,NA,0.21,0.39,NA,NA,0.15,0.45,0.4939,0.588,0,0,1
"20","BB","WB","March","PO",11,11,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301,-0.125,0.792,0.03,0.573,0.9241,0,-0.344,0.314,-0.225,0.218,0.5043,87704612689.489,0.041,1.119,0.153,0.85,0.9876,0.466,-0.024,1.204,0.142,0.826,0.9709,0.305,-0.112,0.871,0.022,0.619,0.9195,0.319,-0.049,0.718,0.077,0.522,0.9543,0.748,0.017,7.62,0.084,0.652,0.9841,0,0.148,-0.8041,0,0,0.21,NA,NA,0,0.22,60.727,121.974,1.5934,0.5163,51.577,148.082,1.291,0.1588,48,151,3.297,5.784,0.864,0.2755,1.752,5.993,0.5594,0.0568,1,6,0.005,0.171,-0.7225,0.0619,0,0.339,NA,NA,0,0.5,0.8351,0.483,0,0,1
"21","BB","WB","March","RU",2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.754,-2.289,2.778,-1.186,0.46,0.2377,1.545,-0.561,3.529,-0.333,1.311,0.5165,-3.273,-81.079,82.367,-79.935,27.568,0.4992,12.524,-248.407,771.218,-148.051,2.506,0.2597,14.986,-451.978,199.392,-1.003,164.053,0.6771,-31.402,-35.53,-16.788,-35.285,-24.109,1,8.611,7.61,9.082,8.227,9.082,1,0.435,0.435,2.6458,1,0.435,0.435,2.6458,1,0.37,0.5,56.506,56.506,2.6458,1,56.506,56.506,2.6458,1,53,60,5.003,5.003,1.8024,0.7973,5.003,5.003,1.8024,0.7973,3,7,0,0,1.288,0.2265,0,0,1.288,0.2265,0,0,0.7761,0.4,0,1,1
"22","BB","WC","Active","RI",37,10,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.478,-1.997,0.367,-1.249,0.195,0.7736,0.721,0.072,1.388,0.296,1.152,0.9841,-0.098,-0.523,0.393,-0.397,0.22,0.6947,-0.53,-2.14,0.391,-1.367,0.205,0.7767,0.73,0.08,1.392,0.316,1.153,0.9862,-0.711,-2.314,0.201,-1.579,-0.011,0.9046,-0.008,-0.77,6.862,-0.576,0.311,0.8001,0.055,0.227,0.5157,0.1208,0.015,0.441,0.3243,0.0692,0,1.2,34.597,48.801,0.7477,0.1537,26.25,56.604,0.4228,0.1327,4,66,4.231,5.07,1.2759,0.4015,3.426,5.426,1.3914,0.4712,2,6,0.052,0.236,0.9107,0.2271,0.012,0.441,0.6591,0.1812,0,1,1.0745,0.488,0,0,1
